Hybridization REF	TCGA-AA-A00K-01A-02R-A002-07
FAM46B	-1.81975
TMEM18	-0.874125
ARHGAP30	-0.159333333333333
TMEM86A	0.37875
EPHA2	1.51316666666667
C10orf46	0.4931
TCHH	-1.687
C3orf30	0.0268333333333333
LOC285636	-0.695
PAIP2	-1.32725
CYP2U1	-0.26275
C12orf34	2.45375
SARS2	0.6085
ZCWPW1	-0.9855
SAMD12	1.968875
KIAA1430	-0.44175
ACAT1	-0.43375
MEOX1	0.117166666666667
ADAMDEC1	6.988
PHKA2	0.177
CARD11	-1.72466666666667
CALML4	3.495
TSSC1	-0.07075
TMEM45A	-1.32533333333333
MPP7	2.3965
POU1F1	0.5765
SLC2A13	-0.0138
FBN2	-0.943857142857143
ZC3H7A	-0.2599
LAIR2	-2.10125
ST3GAL1	0.468833333333333
LCT	-3.1365
GEMIN8	0.634
KLF16	1.3728
HIF3A	0.0678
FAM44A	-0.0651428571428571
AQP10	-0.7015
PLA2G2A	2.7705
FOLH1	0.607
C20orf186	0.164
MAPKAP1	-0.528
SPRR2D	1.1155
UBQLN4	-0.246
RSHL1	0.201166666666667
PIAS3	-1.4395
MRPL24	-0.11375
GREB1	-4.157875
FAM27E3	-0.313
NUP62CL	0.18175
NEUROG3	3.0335
REEP3	0.634
MARK1	0.214625
LMBRD1	0.04
PRPF19	0.3815
PNMT	-1.47033333333333
CTGLF1	-0.4205
SLC25A16	-0.14725
EIF2B3	-0.938
RPA2	-1.025
PAK6	1.80566666666667
CCDC26	-4.363375
SEMA3E	-0.57925
MXD4	0.3792
TNFSF10	1.8374
SMARCB1	0.227
DTX3L	1.18966666666667
PLA2G4E	0.348
PPAP2A	0.1545
ULK1	-1.20091666666667
TAS1R3	0.3755
SLC2A3	-2.76981818181818
ARID3A	0.10725
GNG5	0.02625
ACOX1	1.0322
KIF5B	0.36275
NUP153	-1.02125
MUC7	-0.0045
CSDE1	-0.845785714285714
CLPTM1	0.5445
C3orf23	-0.0615
LRRC17	-3.09833333333333
TTYH3	-0.32825
ATP5B	0.2245
ELF3	3.4031
CPSF3L	-0.0161666666666667
ZNF665	-0.237333333333333
TLR6	-1.4367
GPI	0.359
RAD9A	-0.520375
NDST4	-3.7845
AGPAT3	0.303583333333333
MAGI3	1.67033333333333
ADORA2A	-1.418125
CACNG7	-0.575
CAMK2D	0.481428571428571
CCHCR1	-0.8435
RPS27A	-0.4225
OR10G7	-0.045
GCM2	0.8995
FAM135B	0.5102
E2F1	-0.28
PLCB3	0.35875
OR2AE1	0.4525
COIL	-0.449666666666667
CDC25C	-0.803166666666667
RAB11FIP2	-0.145666666666667
TSC2	-0.24675
CTGLF5	-0.193
CCDC108	0.6916
OR13C4	0.26875
C10orf81	3.909
PTPRB	1.963
ACP2	-0.31575
LAG3	0.8625
MRPL54	0.349
LOC201175	2.5515
ITGB1BP3	-1.36575
SPTAN1	0.453166666666667
SIPA1L2	0.735
RCAN2	-1.229
CDX2	5.351
ECOP	-0.84775
ACTR1A	0.111071428571429
PPARG	3.11883333333333
BBS10	-0.221833333333333
TMEM44	0.261125
BPIL2	0.7485
CITED1	0.095
IRF6	4.18
PRDM4	1.01733333333333
RRP9	-0.0315
OR10H4	-0.0635
IL31RA	-0.7965
GNB1L	-0.8095
MYBL2	-0.648875
ZNF407	0.5945
PPIG	0.1365
TTC18	6.6865
RPSA	-0.079
MAPT	-1.16325
MRE11A	0.107214285714286
C8orf37	-1.8905
RASGEF1C	-0.948666666666667
STBD1	1.4715
CTAG2	-0.615
MGAT5B	-2.45183333333333
ECM1	-0.338
RLN1	0.059
PARP14	1.1720625
EPB41L1	1.1006
HOXA3	0.11675
MAGEA9	-4.28375
RPS8	-0.262833333333333
RPS19BP1	0.21075
FOXJ2	-0.019875
C10orf76	0.2845
IL17RE	1.73775
C10orf65	-0.47825
ZNF343	0.498666666666667
FBXO33	0.11175
UHMK1	-0.1268
LY6G6C	-0.7295
FGF19	-1.9635
C14orf128	0.948333333333333
IFIT2	0.706375
TIGD1	-0.25025
S100G	0.1155
GUCY1B3	0.5115
NR3C1	-2.4498
CORO1B	0.384666666666667
PARP11	-0.316833333333333
DNALI1	-0.477666666666667
OR4N4	0.69875
MAP2K6	2.39083333333333
FSTL4	-0.267
ANKRD47	0.796375
TMEM171	0.34
PNLIP	-0.07875
YY1	0.457
CCDC138	-1.5275
AASDHPPT	-1.0342
CKS1B	-0.6033
MCM3	-0.458
ANAPC7	-0.144
FAM110A	1.03175
CDC37L1	0.204
THTPA	-0.19975
NBPF20	-0.324
WDR24	-0.846
NPTX2	-3.3435
CBLB	0.697333333333333
CETN1	0.666166666666667
RPUSD1	0.30325
FAF1	-0.48025
CDK6	-1.5575
HMX2	0.277
CSK	0.264333333333333
TEAD2	-0.2005
SNAP25	-1.49125
TUFT1	0.6815
TMTC3	0.376666666666667
LCK	-1.31125
SGOL1	-0.713833333333333
AKTIP	-0.22975
FURIN	1.1845
SOX12	-1.42983333333333
DEFB103A	3.21275
RAMP1	0.92325
KIR3DX1	0.00850000000000001
GAS2L3	1.15775
PDE8A	-0.3461
EDN3	1.4835
GMIP	1.165
SF3A2	1.976
FN3KRP	-0.22325
SMAD7	-0.928
RHBDD2	-0.03
OR11H6	-0.033
PPP1R3B	1.143
C9orf23	0.13375
CADPS	3.886
GOLGA8A	-0.623625
TMEM57	0.398666666666667
RGL3	0.1335
S100A14	2.755
FGFR2	0.8611875
XRCC3	0.0455
RTN4RL2	0.32025
MGC3771	-1.758
GH2	0.584333333333333
BTBD2	0.3715
LMO2	-1.7255
RDBP	-0.5255
ACRBP	-2.143
AMY2A	1.444
DUOXA1	0.898
PTK7	-1.43316666666667
TWF2	-0.259833333333333
FAM80A	1.353
TNNI2	-3.34233333333333
GLT25D1	-0.316
OCC-1	-0.1815
CYC1	0.649333333333333
RPL22	0.517090909090909
MORN3	-0.956666666666667
DISP1	-0.93525
PRB2	-0.0975
CHUK	-0.35425
HR	-0.246375
CCDC134	0.399375
DENND4B	-0.6675
C14orf130	-0.56175
RAB33A	-1.9385
DCST2	-0.229
TNMD	0.74875
PEX7	0.78425
FAM62A	0.593
SRD5A2L	-0.11475
IL22	1.06225
RPS26	-0.5225
HOXC5	-0.309
SPATA6	-1.1105
FLJ38482	1.4055
ZNF234	1.119
C18orf22	0.58675
SPATA22	0.04925
THOC1	-0.39475
CYP7B1	0.36775
KCNC3	0.18275
C8orf42	-2.4185
ALDH1B1	1.97866666666667
CCDC100	-0.4811
ARMC4	-0.048
FAM18B2	0.07775
SLC44A1	0.668125
FBXO17	-2.75016666666667
C6orf107	-0.44625
C19orf29	-0.000749999999999994
ZC3HAV1L	0.44775
PARP6	-1.6037
SULT2A1	1.341625
C1orf159	-0.04525
TMC1	0.26825
CHST14	-1.080375
GAMT	-3.032
SMCP	0.0898333333333333
TSPAN33	-0.148666666666667
MIDN	0.600375
NOX4	-0.207
RNASEN	-0.5169
TBX1	-2.687
SALL2	-3.32575
C10orf35	0.66775
CYP2E1	-1.42575
LRFN2	-0.2865
ACO1	-0.178333333333333
IQCG	-1.175
MEGF9	-0.47075
TM7SF4	1.254
PLEKHA1	1.25946666666667
STK33	0.8455
C1orf210	2.36225
SNUPN	-0.4907
KIAA0406	-0.8718
C20orf29	0.443
TMEM55B	0.26875
OSTM1	-1.3970625
CLCN7	-0.044
OTP	-0.07325
FLJ23049	-1.1275
HEATR4	0.1865
MAP3K10	2.03483333333333
PCDHGA9	0.4095
AMDHD2	-0.1455
LCTL	-0.9095
PDCD2L	0.4015
CABLES2	-0.32075
SLC5A9	-0.0595
CLCA2	-1.8678
MGC16025	-0.3585
STRAP	-0.214833333333333
C20orf196	1.073
RRBP1	1.91316666666667
NAT13	-0.3255
MAT2B	-0.151875
CSNK1D	-0.2375
KIR3DL1	0.382
PRKAG3	0.626
ZNF599	-1.0375
PRM3	0.947
PER2	1.21133333333333
ASPHD1	-1.9445
PRMT6	-0.8
KCNE1L	-0.227142857142857
FAM118A	0.370166666666667
TAF4	0.1915
NDUFB6	-0.72725
TRIM9	-1.40758333333333
PMFBP1	1.19125
KY	0.4785
DKFZp762E1312	-0.888818181818182
CSMD1	-1.1235
TBP	-0.597666666666667
OR1Q1	0.317666666666667
RETNLB	5.82575
HPGD	1.94414285714286
DNAJC12	0.605166666666667
FKBP1B	-3.1185
ANKRD24	-0.399833333333333
CXXC5	0.552
IL3	0.049875
DRAM	2.3346
PTCH1	0.83025
TP53BP1	-0.477
SLC17A7	0.334125
COL25A1	-1.3614
AMACR	2.97
RHCG	0.86425
VPS13A	0.49225
FAM55D	2.7425
PRPF38B	-0.053
OSBPL6	-3.05425
PFDN5	-0.0912
CMTM6	1.08225
KCNK12	-1.73275
RP2	0.94825
C16orf52	-1.28125
PICK1	0.623
IFNE1	-1.53266666666667
SEMA4B	0.84525
TYRO3	-1.5555
OR12D2	0.3645
CSNK1A1	0.1509
FANCF	0.62125
LONP2	0.532625
TBL1Y	-2.56575
LDOC1L	-1.06625
CCNC	-0.023
C3orf60	-0.07475
CHKA	-0.465
UBAP1	0.01125
MAP3K1	-0.435
ANKRD9	-0.19425
FAM92A1	0.428166666666667
GAB2	0.076125
AZU1	-0.683
DIS3	-0.602333333333333
C21orf109	-1.05375
IQCB1	-0.252
SPATS2	-0.241333333333333
EFCAB3	0.4155
PRB3	0.402125
FUZ	-1.27483333333333
ZNF813	0.410875
BMPER	-1.2615
HEG1	-1.326625
ALS2CR11	-3.09525
SURF2	-0.4365
PSMC1	-0.0554166666666667
OR2D2	-0.00650000000000001
SLC7A8	1.695
C4orf40	0.1175
SPATA7	-0.59175
MAZ	0.397
PIN4	0.093
PDE1A	-1.5325
TAF6L	-0.0363333333333333
OR2T34	0.205
KIAA0284	0.841
ACADS	2.14318181818182
MKRN2	-0.899
C18orf56	-0.73925
MS4A6E	-0.0486666666666667
GALNT4	2.0852
C22orf31	-0.242
FLJ36070	0.716
PSME4	-0.363
TFG	0.1331
EPHX2	2.7685
ANXA5	-1.35675
KRTAP1-1	-0.2574
BATF	1.4465
KARS	-0.34475
MSTP9	-0.657
GPR26	0.08225
CCDC72	0.377
TEF	0.264666666666667
FOXK1	0.0508
PRLHR	-0.012
EMX1	0.82725
C11orf30	-0.722375
ICK	0.757125
THSD7B	-0.71725
C21orf100	-0.3015
DUOX1	1.1425
EFCAB4B	0.55525
UBE2G2	0.186666666666667
C3orf54	-0.2135
PARP1	-1.453
FAM60A	0.28875
C6orf146	0.153
OR9K2	0.174
DDX55	0.0858333333333333
RPS15	0.658083333333333
ZNF618	-0.9779375
DKFZp686D0972	1.8505
SSPO	-0.8055
SHFM3P1	0.125666666666667
CPA6	2.11125
JAG2	1.104
DEFA3	0.63475
PPBPL2	0.191833333333333
CD34	3.1905
SLCO4A1	-0.391875
AFG3L1	-0.428833333333333
SHD	2.4695
RP13-122B23.3	-0.2265
PRKCSH	-0.350166666666667
DPH5	-0.8995
HLA-F	1.942125
TBC1D4	0.4045
RIG	0.503333333333333
GLUD1	-0.289833333333333
HNRPCL1	-0.48
HBXIP	-0.46925
RNF207	-0.696
APIP	-0.736
PLA2G3	3.522
CCDC84	-1.02875
MYLIP	-1.02069230769231
PHIP	-0.7665
AARS2	-0.244333333333333
DHX32	0.74025
SCAPER	-0.511
MEN1	-0.06775
NIP7	-0.46975
FLJ25404	0.0235
FASTKD3	-0.56375
TMEM158	-1.44858333333333
RARA	0.23925
BDH1	2.007
ANKRD16	-0.4135
CARM1	0.9725
SS18	-0.817
IKZF2	-1.23316666666667
MYD88	0.52775
PML	0.9301
TAF1A	-1.438
CBFB	-0.380125
HIST1H3H	-1.31533333333333
C7orf29	-1.49475
COMMD4	-0.601
DPP3	0.754
DAB2	0.46025
LOC388882	-0.324
YPEL4	-1.46675
AGBL3	1.962
LRP6	1.2784
SERPINH1	-0.461083333333333
TLE1	-1.28
CD244	1.0755
ZDHHC15	-1.67275
MGLL	0.729
PLDN	-0.264916666666667
LOC654346	2.4095
FAP	0.90225
GPR37	-2.79833333333333
SCARA5	0.276333333333333
EBF4	0.485090909090909
LSM6	0.33125
MLLT1	-0.2848125
SLC5A12	0.0565
A2BP1	-1.6435
COPS5	-0.169
TPM4	-0.0347857142857143
TNFSF4	-0.246166666666667
ACADSB	0.554722222222222
HERPUD1	-0.30925
BCL2L11	-1.40633333333333
CEP78	-0.879
CDCA3	0.435
WBSCR19	-0.1437
MYO1A	5.2835
PPEF1	-0.427166666666667
LOC440348	-0.41775
CPEB2	0.05525
BPTF	-0.518416666666667
RPL21	0.1655
GSX2	0.159
ADPRH	0.121666666666667
C17orf68	0.533
KCNS1	-1.23983333333333
MLLT6	0.325
PIWIL4	3.079
RNF26	-0.86325
RAP1B	0.54975
ADAMTS1	-3.0567
ZNF571	0.16025
P2RY6	0.2895
TRIM21	1.92716666666667
CADM3	0.39625
NLRC5	2.188
ADRA2B	0.5715
LOC90835	-0.76525
PCF11	-0.96875
LOC400451	0.5705
GLTSCR1	1.3978
C17orf88	0.6895
CDH16	-0.25025
FGF7	0.725875
PCSK4	-0.9805
NPC1L1	2.07516666666667
TAT	0.153375
TBCA	-0.66675
MGC33407	0.04825
GPR115	2.183125
CYGB	-0.1005
FNBP4	-0.669333333333333
C12orf43	0.188
CBL	-0.475
CLECL1	-0.87425
PPAPDC1A	-0.328
WDR25	-0.428166666666667
SGCA	2.6365
C22orf29	-0.263666666666667
YIPF1	0.0645
GALK2	0.84425
RAB3B	-0.745166666666667
LOC440087	-0.693
UCP1	-1.019
REEP5	0.30125
FADD	-0.4153
FOXA1	-0.259625
CACNA1A	0.736
ABI1	0.1845
GRIN2D	2.22875
SLC1A4	0.131666666666667
LOC401127	0.4515
HINT2	-0.42225
PLD4	-1.19083333333333
ZNF286A	-1.082
ENY2	-0.4605
IL1F6	0.0595
PXDNL	-0.52475
C20orf79	0.42525
TNFSF13B	0.920833333333333
DENND3	0.123
JARID1D	0.791
HIST1H2AK	-0.01925
LOC93349	0.1297
SSH1	-0.2394
ENSA	-0.074
LOC219854	-0.731666666666667
CKAP2	-0.4793
DKFZP564J102	0.420166666666667
MGC87315	0.238833333333333
HNRPAB	0.40075
AMH	-2.1985
ZNF526	1.235
BRUNOL5	-0.3909
CACNG3	0.018
TRPM1	-2.0045
PPP2R1A	0.555
COL2A1	-2.4135
DDN	0.914833333333333
FLJ25770	0.456166666666667
HK2	-0.448714285714286
ELOVL6	0.258
MDK	-1.22925
EPHX1	-0.55
RASSF2	0.07825
DKFZP434B0335	-0.339
DLX3	0.289625
PRTN3	-0.60975
AVPR1A	0.16825
C21orf125	-2.944
TNFAIP8	0.0198333333333333
GNB2L1	-0.37175
CALCRL	1.046
SCGB2A2	-0.208666666666667
UBXD7	-0.6815
ZNF674	-0.606
TMEM35	1.103125
BRSK2	-0.63775
HECTD3	0.554333333333333
TMEM188	-0.474166666666667
LGALS9	2.783125
SCARB2	0.5195
USP34	-0.538583333333333
C17orf28	0.300416666666667
ZDHHC23	0.11425
AQP12B	3.5455
SLC16A3	-0.16875
APLP2	0.13
ITIH2	-5.0535
MICAL3	0.514875
TNNI3K	-0.1699
HDAC2	0.26375
PRR7	1.0495
THBS2	-2.06425
LOC751071	-0.475833333333333
CA2	-1.48416666666667
RANBP17	0.88775
RLN3	0.34375
CRYZ	-0.286333333333333
GBAS	-0.5835
TAS1R1	-0.91775
MPZL3	0.716
PCDH8	-2.26075
HSP90B1	0.711
KCNK15	-0.7095
TNIP2	0.603666666666667
GPR146	-1.309
NOL6	0.218875
SPC25	-1.13566666666667
STEAP2	2.8115
VAMP3	-0.0345
TCIRG1	0.26625
ZP4	-0.462333333333333
PARL	-0.0125
TRIM39	-0.213833333333333
KIAA1305	1.48375
CRNN	0.2585
GRN	0.15275
HSH2D	0.491
SCAMP1	0.0083125
KIAA1913	3.73775
PTS	-0.27475
BANP	-0.0833571428571428
PRKACG	0.0375
ADCY6	0.917
C16orf46	-0.1325
CYP51A1	1.542
DDC	4.302
ANPEP	0.904666666666667
PROM1	0.348833333333333
SIGLEC10	1.40625
COPG	0.462
FAM26E	-0.2825
TRIP4	-0.04625
SNX3	-0.393166666666667
C1orf175	2.2495
PPY2	0.1455
C14orf152	0.5075
FTSJ1	0.1335
DST	-0.467
LOC554235	0.07575
GLRX5	-0.415
C20orf12	-0.8206
CAB39	0.360333333333333
MSH2	-1.30833333333333
PIP4K2C	1.18225
CYLD	-0.099
WTAP	0.132
MGAT4A	1.09077777777778
TSC22D4	-0.5744
CHRM2	-0.042
PPYR1	0.327666666666667
CCNH	-0.484333333333333
RRM1	-0.62175
ECAT8	-3.6915
LOC400120	0.182
GABRA4	-0.246
C14orf4	0.155833333333333
C1orf59	0.21125
CTDSPL	0.474583333333333
NHEDC2	-0.5015
PDE11A	-1.3255
KLHL29	0.0265
CD5	0.2927
TSPAN9	0.3058125
WDR67	-0.37175
THUMPD1	-0.191
C18orf17	-1.488
CLYBL	0.527666666666667
FLJ13231	-1.76125
CMBL	0.3325
LECT2	0.017
NKAPL	0.0601666666666667
LOC654780	0.7055
OR4C6	-0.0945
RAB30	-0.9605
TSSK4	0.1495
TMEM163	-0.8545
OSBPL11	0.240333333333333
GNB5	-2.47
CCL21	1.31275
C1orf121	-0.3555
FMO2	0.374833333333333
RPTN	0.406
MSTN	0.7845
VCL	0.499214285714286
FYTTD1	-0.78925
C11orf1	-0.75075
CCDC88C	0.5055
HFE	0.258833333333333
MOGAT1	0.4875
FAM125B	0.482333333333333
IRGQ	0.5555
RAVER2	1.39525
AKAP5	-0.597
SSSCA1	-0.49375
C11orf63	-1.084
ACTG2	3.5659
PORCN	-1.5245
DTL	-1.24854545454545
TMEM151	0.6425
FAM122C	-1.259
RSAD2	1.6067
BAT4	-1.35
KRTDAP	-1.90683333333333
MYH8	-0.37225
CRTC3	0.01775
LRRFIP2	-0.0153
INTS4	-0.9785
TTN	-1.64983333333333
SLC26A5	-0.6025
PLLP	-1.4695
RGS6	-0.997625
SRGAP3	0.385
ZNF525	0.273333333333333
NBR2	-0.544833333333333
C13orf1	0.6842
ZNF137	-0.0895
CEP27	-0.97525
BEST2	1.604
RNF121	-0.16775
DMRTC2	0.12375
C8orf76	0.29925
BCCIP	0.03425
MEST	0.198
HTRA2	-0.254
ANGPTL2	-0.35
ILKAP	0.198166666666667
ERAS	-0.339
HBS1L	-0.653375
CPA5	0.082
TMEM30A	0.0728333333333333
CD300LF	1.60466666666667
WISP3	2.867
CRK	0.568928571428571
PDS5A	-0.2163
BRPF3	-0.003
NEDD9	-0.540625
SMPDL3B	2.2635
PSG6	0.70625
PSMD13	0.4
ETV5	-1.9554375
OR51A4	-0.0265
BTBD7	0.544083333333333
GSTO1	-1.033625
hCG_16001	0.8295
MAD2L1BP	-0.325333333333333
COX6A2	2.4365
SCNN1A	2.935
LSM1	0.166666666666667
UGT2B11	0.3385
IDUA	0.14075
PPP2R3C	-0.549
COX11	0.0548333333333333
PDZK1	-3.124
ZNF443	0.514666666666667
MGC21874	0.4155
ZNF323	-0.0482
KRTAP10-10	0.009
CXCL6	0.152
SLC34A2	0.3584
LOC284402	0.2645
NPTN	0.471583333333333
UPP1	-1.10858333333333
SLC6A9	-0.693
OR7G3	-0.122
CISD1	0.047
ZNF545	-2.41366666666667
SYT14	-1.0675
NT5C3L	-0.884
ZNHIT3	-0.395833333333333
SNRPD3	0.0255
KIAA0701	-0.264
UNC93B1	0.5035
GMNN	-0.536
SPCS2	-0.436166666666667
LOC388524	0.747
NAPRT1	1.60175
PNLIPRP1	-0.232
OR6V1	0.756
PRKAB1	1.58975
EYA4	-2.2425
KIF20A	-0.661
ALG10	0.5495
ITPKC	1.28366666666667
LMX1B	-0.329
RPUSD4	0.274166666666667
C7orf34	-0.162333333333333
DLGAP2	-0.011
PFN1	0.3282
MICALL2	0.206
ZNF654	0.191
SS18L1	-0.760625
SLC16A8	-0.0715
MKI67IP	0.0615
ITGB3	-0.446125
TCEA3	2.77266666666667
CEP152	-0.8570625
CLIP1	0.664375
ZNF75	1.038
ATP5C1	0.0568333333333333
NUDT5	-0.2665
PSCDBP	0.63575
UBP1	0.34775
RBM27	0.018
C13orf15	1.4155
ZNF282	-0.4955
ZNF222	-0.8042
COL10A1	4.69475
PRDM15	-0.735625
TTTY5	0.2155
FAM9C	-0.46425
C20orf67	0.034
GNG13	-0.677
F12	0.633
C1orf41	-1.671
CPXCR1	-0.0745
GSK3A	0.719625
SUPT6H	-0.4665
PI16	-1.85183333333333
ELL2	-1.57033333333333
C9orf167	1.24183333333333
PVRL3	-0.464
FLJ38596	0.1465
ADAM20	-0.28525
GPR89A	-0.725
GPR87	-2.755
ZNF30	0.079
SMR3B	0.08775
ZNF770	-0.060625
TRPC4AP	-0.0631666666666667
DKFZP686E2158	0.344166666666667
C2orf28	-0.771333333333333
FREM1	0.810333333333333
LAMA4	0.0791666666666667
ADPRHL2	0.4825
EIF4G2	0.487166666666667
GUCA1A	-0.938
CTNNA2	-1.26725
NUDT15	0.465166666666667
CEPT1	0.054
ZNFX1	0.5547
CCDC92	0.36125
TDRD1	-0.2155
KCNK5	1.32033333333333
ETNK1	0.74475
LTA	0.3655
TTPA	1.95833333333333
B3GALNT2	0.3135
SC65	-0.7525
PEX5L	-1.78925
EPS15L1	-0.3415
MGEA5	0.05025
HIST1H3A	0.159
ING1	0.16475
BCAT1	-3.362875
ORC6L	-0.857272727272727
KLK11	-2.81166666666667
C19orf28	-0.865875
DNER	-4.447375
MED22	-1.09657142857143
ETV6	1.53066666666667
CHAC2	-1.377
CD300E	0.565
CEBPB	-0.336166666666667
ZNF398	-0.53725
LRCH3	0.044
HMGA1	0.121
CAPN7	-0.560166666666667
MGC5566	-3.80125
CCL3	2.5295
NANOS1	-1.32975
ZFYVE19	-0.68475
APITD1	-0.272833333333333
PARD3	-0.255375
IRAK4	0.552166666666667
SERPINI2	-0.576
CEP170L	-1.914
TTC9	0.458
MYOM3	2.7945
MLPH	-0.7405
LOC222699	-0.5275
NRG1	-1.30541666666667
TBC1D9	-2.89209090909091
TTK	-0.643333333333333
ZNF557	0.2045
DDX41	-0.861166666666667
FANK1	-0.1665
UBE2D2	-0.046875
PSMB10	1.302625
MYH7B	1.672
GABARAPL2	-1.151
MARVELD2	1.81916666666667
DGCR2	0.328166666666667
UNC45A	-0.649666666666667
C6orf72	-0.771
ZNF683	2.06725
GIT2	-0.07225
CASK	2.11766666666667
C14orf161	1.843
LRRC44	-1.555
TIFA	-0.874625
UTP11L	-1.120375
C6orf65	-1.561
FDPS	0.30975
DUSP9	-1.8311
SLC17A8	0.549
OR51G1	0.0405
NANS	0.5095
OLFML1	0.99725
ATP10B	4.593125
NPAS3	-2.143
PRKCA	-0.4988
GGA2	-0.5083125
LCE4A	-0.203
SPANXN3	0.212
CCDC115	-0.025875
SDCCAG3	-0.668
GLIPR1L1	0.09725
TTC1	0.0305
C17orf76	2.79225
MAD2L2	-2.10025
HIPK1	-0.2971
LRRC3B	-0.62
CLN3	0.100363636363636
C17orf47	0.354
FMN2	-2.652875
TUBB1	-1.15525
WAPAL	0.150333333333333
C3orf21	-0.898
SCN5A	-0.235
SMYD1	0.14625
BEX5	0.23775
ZNF192	0.3295
SEC22A	-0.338333333333333
GRIA2	0.147642857142857
KIAA0825	-2.248
NUSAP1	-1.65754545454545
LANCL1	-1.1215
C15orf40	-0.6131
ZNF645	0.076125
GPR61	0.03175
NLRP14	-0.197
SNX21	-0.3282
C1QTNF8	-0.1185
C17orf46	-0.0405
IFNA8	1.251
SPRR1B	-1.1795
FLRT1	-0.12375
SNX17	-0.605666666666667
ASB2	1.27966666666667
HBG1	-5.7505
RPRML	-0.56375
JOSD2	0.818666666666667
PLSCR3	-0.46075
SPOCD1	-0.702333333333333
RAB39	-0.1945
GHRH	-0.221
ITIH5L	0.08125
C17orf37	0.539
SMCR8	0.224
DPY19L2P3	-1.333
IL11RA	-0.688666666666667
GDF3	-3.83866666666667
RPS6KB1	-1.47033333333333
DNAJC19	-0.6076
TOP1	0.02075
CRCT1	-0.05025
MPST	1.46225
DPM2	0.290875
FAM38B	-3.041
SLC18A1	-1.5185
FARP1	-0.369666666666667
PAX7	-0.0665
TUBD1	-1.13175
GNL3	0.119625
BTG2	0.974266666666667
NDUFS6	-0.48225
C1orf79	0.111
ERAL1	-0.36675
ECHS1	0.83975
VPS4A	0.12
CYP11A1	-1.703125
ABCC6	0.926357142857143
PBX4	1.42
MOSC1	1.547125
NCF4	-0.4935
HYMAI	0.605
NAGPA	-0.15525
OTOP2	0.21125
ACOT12	-0.347
MTHFD2L	-1.55075
LOC441376	-2.1485
C19orf34	-0.7725
RAB1B	-0.084
ALDOAP2	0.0725
NTRK1	-1.969
ARTS-1	-0.1936
SLC6A11	-0.8645
NAP1L2	-3.0355
CNGB1	0.115
EPB41L4B	1.68075
FAM134B	1.7625
HS3ST3A1	-1.81333333333333
CPXM2	3.26075
SIRPB2	0.1785
CHORDC1	-0.2
TRIB3	0.596166666666667
SLC2A5	0.5985
C2orf49	-0.380833333333333
DDX5	-0.521
OR5L1	1.304
ANAPC4	-0.0616666666666667
ZSWIM1	0.212125
LOC93622	-0.504625
KCNK3	-0.272
RP11-35N6.1	-2.4135
ZFP161	-0.509333333333333
AQP9	2.93
SLC15A2	-0.6535
MREG	-0.959833333333333
OR9I1	0.177
PDLIM2	-0.376125
ADAM7	-0.082
GSTCD	0.0178333333333333
WDR21A	0.32325
SLC12A8	1.81083333333333
TMEM174	-0.2415
IGSF3	-1.22958333333333
LRRN1	-3.192
LOC402117	0.05075
SRPK1	0.562166666666667
LY6K	-2.5164375
NFIA	1.1775
PTCD3	0.441
LEP	-0.228666666666667
PCDH21	4.49383333333333
MAPKAPK2	-0.0672142857142857
NMNAT1	1.29816666666667
LHFPL2	-0.21125
C9orf43	-1.2505
DIP2A	-0.28
ACTR8	-0.440625
CCDC34	-0.78825
PTPN22	-0.5335
ITGA3	-0.21
FAM129C	-0.4115
RABGGTA	0.441166666666667
UNC45B	0.25925
KIAA1033	0.712875
ZNF510	-1.12416666666667
CYP2D6	0.327
SLC26A10	-2.3145
STX8	-0.179
LUZP1	0.922375
WDR89	-0.2495
EIF4G3	0.024
C5AR1	0.510875
ZNF623	-0.474
A2M	-0.86025
TGM7	-0.065
GRPEL1	0.749166666666667
LMNB2	0.0196
ROCK2	1.64133333333333
SNX16	-0.220125
CCDC66	-0.81225
ANXA3	1.88025
KIAA1609	-0.624375
EED	-0.83275
RNF32	0.2785
HES1	0.894
CLC	3.059
ISL1	-0.0748333333333333
KIAA0528	0.477875
MANEA	-0.332375
C1orf61	-2.503
hCG_2001000	1.03975
RAPGEF6	-0.3877
KIAA0020	0.212
NEIL1	0.799
C16orf45	-1.2255
RBM10	0.450166666666667
C10orf125	0.52525
MRS2L	-0.27975
DNAH17	-1.736875
C19orf10	-0.12825
C1orf160	0.14675
SLFN12	-1.48125
EXOC3	-0.143
HIST3H3	-0.34325
NCOR2	-0.120333333333333
TNFRSF9	1.054
MFSD8	-0.1255
ALX1	-3.204
NOL1	0.36325
PODN	1.8755
TIAL1	-0.67
HIST1H1E	-2.0035
NPY6R	0.12825
TM4SF4	1.07925
CORO2A	0.592
ETNK2	-1.31816666666667
APOE	-0.9014
ANGPT4	0.479
HDGF2	-0.40725
G30	0.29
ST8SIA4	-1.096875
F2RL1	2.992375
FAM19A4	-3.4145
CCAR1	-0.31625
B3GNT7	0.12125
OPHN1	-0.3832
DSCR6	-1.3425
C21orf13	-0.9925
GAS2L1	-0.38475
RFX3	-0.415833333333333
COPS4	-0.8605
BCHE	-3.6195
BCL2	-0.687625
HBZ	-2.903
ARL13B	-0.829625
MAPBPIP	0.153125
MYO15B	2.954625
SPZ1	0.59375
KIAA1324	1.58066666666667
