Hybridization REF	TCGA-A2-A0CP-01A-11R-A034-07
C16orf46	0.5425
CYP51A1	-0.858125
DDC	-3.80125
ANPEP	-0.1095
PROM1	2.17666666666667
SIGLEC10	1.21825
COPG	0.628
FAM26E	1.528
TRIP4	0.52975
SNX3	-0.184
C1orf175	0.762666666666667
PPY2	0.397333333333333
C14orf152	0.4335
FTSJ1	-1.36383333333333
DST	1.244
LOC554235	0.21275
GLRX5	-0.0885
C20orf12	1.7075
CAB39	0.4865
MSH2	-1.867
PIP4K2C	0.30625
CYLD	0.8115
WTAP	0.299625
MGAT4A	0.792555555555555
TSC22D4	-0.8645
CHRM2	-1.7495
PPYR1	0.135
CCNH	-0.180333333333333
RRM1	-1.186
ECAT8	-3.59025
LOC400120	-0.48925
GABRA4	0.30425
C14orf4	1.06066666666667
C1orf59	-0.6335
CTDSPL	0.853833333333333
NHEDC2	-0.7945
PDE11A	-0.255071428571429
KLHL29	-0.0695
CD5	-1.407
TSPAN9	1.79375
WDR67	-1.34625
THUMPD1	1.6733
C18orf17	0.755
CLYBL	0.8955
FLJ13231	-0.44525
CMBL	1.17525
LECT2	-0.5915
NKAPL	2.82533333333333
LOC654780	0.763
OR4C6	-0.8745
RAB30	1.747
TSSK4	-0.3715
TMEM163	0.376
OSBPL11	0.541
GNB5	-0.560333333333333
CCL21	2.28375
C1orf121	-0.389833333333333
FMO2	2.9795
RPTN	0.163
MSTN	0.227
VCL	0.169428571428571
FYTTD1	0.14
C11orf1	0.7705
CCDC88C	-0.05925
HFE	-0.4795
MOGAT1	-0.191
FAM125B	0.307166666666667
IRGQ	-0.0635
RAVER2	-0.08125
AKAP5	-0.9125
SSSCA1	-0.61425
C11orf63	0.186
ACTG2	2.6972
PORCN	-0.9495
DTL	-3.46009090909091
TMEM151	0.15925
FAM122C	-1.29875
RSAD2	2.8625
BAT4	-0.5235
KRTDAP	-0.4765
MYH8	1.00816666666667
CRTC3	0.2055
LRRFIP2	0.6487
INTS4	-0.545333333333333
TTN	-1.0825
SLC26A5	0.5535
PLLP	-1.49475
RGS6	-0.993
SRGAP3	0.18025
ZNF525	0.110666666666667
NBR2	-0.452
C13orf1	-0.052
ZNF137	-0.009
CEP27	-1.6185
BEST2	0.118
RNF121	-0.48175
DMRTC2	0.329
C8orf76	-0.18275
BCCIP	-0.05375
MEST	-0.55575
HTRA2	-0.624
ANGPTL2	1.58275
ILKAP	0.0208333333333333
ERAS	0.1615
HBS1L	-0.290625
CPA5	0.053
TMEM30A	0.588333333333333
CD300LF	1.761
WISP3	2.9215
CRK	0.0495714285714286
PDS5A	-0.5704
BRPF3	0.218333333333333
NEDD9	0.122
SMPDL3B	0.73925
PSG6	-0.945
PSMD13	0.0595
ETV5	-0.7790625
OR51A4	-0.271
BTBD7	1.01125
GSTO1	-0.854875
hCG_16001	0.3975
MAD2L1BP	-0.607833333333333
COX6A2	0.105
SCNN1A	2.007
LSM1	0.6775
UGT2B11	-0.7365
IDUA	0.19475
PPP2R3C	-1.0805
COX11	-0.506166666666667
PDZK1	0.026
ZNF443	0.755833333333333
MGC21874	1.3225
ZNF323	1.5734
KRTAP10-10	0.8085
CXCL6	-0.302
SLC34A2	1.1156
LOC284402	0.735
NPTN	1.0165
UPP1	-2.07508333333333
SLC6A9	-0.842
OR7G3	0.75575
CISD1	-0.384666666666667
ZNF545	-0.274
SYT14	-1.3395
NT5C3L	-0.815166666666667
ZNHIT3	-0.214333333333333
SNRPD3	-0.529
KIAA0701	-0.03375
UNC93B1	-0.417166666666667
GMNN	-2.529
SPCS2	0.125666666666667
LOC388524	-0.7195
NAPRT1	0.228375
PNLIPRP1	-0.4625
OR6V1	0.784
PRKAB1	-0.4235
EYA4	-3.412
KIF20A	-3.40975
ALG10	-0.72425
ITPKC	1.24083333333333
LMX1B	0.704333333333333
RPUSD4	-0.339666666666667
C7orf34	-0.0626666666666667
DLGAP2	0.533875
PFN1	-0.7786
MICALL2	-0.38475
ZNF654	1.048
SS18L1	-1.25325
SLC16A8	1.267
MKI67IP	0.061
ITGB3	-0.64325
TCEA3	2.12416666666667
CEP152	-2.2895
CLIP1	1.222125
ZNF75	0.2316875
ATP5C1	-0.5365
NUDT5	-0.942666666666667
PSCDBP	0.70775
UBP1	-0.14225
RBM27	0.0455
C13orf15	2.4755
ZNF282	-0.5795
ZNF222	-1.2212
COL10A1	6.885
PRDM15	-1.253625
TTTY5	-0.892
FAM9C	-0.468
C20orf67	-0.78125
GNG13	0.1485
F12	-0.68475
C1orf41	-0.8985
CPXCR1	-0.054
GSK3A	-0.022
SUPT6H	-0.392166666666667
PI16	1.62883333333333
ELL2	-0.860166666666667
C9orf167	-1.99933333333333
PVRL3	-1.1084
FLJ38596	0.576
ADAM20	0.41425
GPR89A	-0.5095
GPR87	0.1495
ZNF30	0.61475
SMR3B	0.792
ZNF770	0.13075
TRPC4AP	-0.9985
DKFZP686E2158	0.885666666666667
C2orf28	0.221333333333333
FREM1	0.415
LAMA4	0.618333333333333
ADPRHL2	-0.098
EIF4G2	0.0636666666666667
GUCA1A	-0.091
CTNNA2	-1.865375
NUDT15	-0.683
CEPT1	-0.481333333333333
ZNFX1	-0.1585
CCDC92	1.03575
TDRD1	-1.2675
KCNK5	-0.496166666666667
ETNK1	-0.544583333333333
LTA	0.381
TTPA	-0.201833333333333
B3GALNT2	0.243125
SC65	-0.691833333333333
PEX5L	-1.42825
EPS15L1	-0.5755
MGEA5	0.352625
HIST1H3A	0.94575
ING1	0.291125
BCAT1	-2.593625
ORC6L	-4.274
KLK11	-4.55733333333333
C19orf28	-1.14125
DNER	-4.4975
MED22	-0.800214285714286
ETV6	0.8695
CHAC2	-2.2685
CD300E	0.1895
CEBPB	0.434666666666667
ZNF398	0.1395
LRCH3	-0.286
HMGA1	-2.4585
CAPN7	-0.0605
MGC5566	-2.46125
CCL3	2.0355
NANOS1	-0.201375
ZFYVE19	-0.8345
APITD1	-0.567333333333333
PARD3	-0.02875
IRAK4	-0.578333333333333
SERPINI2	-0.2925
CEP170L	-0.20675
TTC9	1.355875
MYOM3	-1.50125
MLPH	0.790375
LOC222699	0.1915
NRG1	0.0910833333333333
TBC1D9	2.695
TTK	-3.54383333333333
ZNF557	-0.084
DDX41	-0.595166666666667
FANK1	3.055
UBE2D2	-0.343
PSMB10	0.161875
MYH7B	0.5105
GABARAPL2	-0.326875
MARVELD2	2.20366666666667
DGCR2	0.170333333333333
UNC45A	-0.447666666666667
C6orf72	1.11
ZNF683	3.193
GIT2	-0.1935
CASK	1.09016666666667
C14orf161	2.12883333333333
LRRC44	1.70375
TIFA	0.6355
UTP11L	-0.32775
C6orf65	0.1075
FDPS	-1.3305
DUSP9	-2.3228
SLC17A8	0.484
OR51G1	0.416
NANS	-0.3525
OLFML1	2.34875
ATP10B	-1.36785714285714
NPAS3	0.7155
PRKCA	-2.2771
GGA2	0.1789375
LCE4A	0.184
SPANXN3	-0.285
CCDC115	1.56425
SDCCAG3	-1.2215
GLIPR1L1	-0.109
TTC1	-0.12475
C17orf76	0.35525
MAD2L2	-1.4435
HIPK1	-0.0376
LRRC3B	0.0926666666666667
CLN3	-0.913045454545454
C17orf47	0.65
FMN2	-2.082375
TUBB1	-0.968285714285714
WAPAL	-0.264166666666667
C3orf21	-0.384375
SCN5A	-0.4824
SMYD1	0.6425
BEX5	1.023
ZNF192	-0.175
SEC22A	-0.0981666666666667
GRIA2	0.844357142857143
KIAA0825	-1.30075
NUSAP1	-3.83563636363636
LANCL1	-0.213
C15orf40	-0.9169
ZNF645	0.0975
GPR61	0.206
NLRP14	-0.286
SNX21	-0.2751
C1QTNF8	0.07
C17orf46	-0.369
IFNA8	0.6625
SPRR1B	-2.06483333333333
FLRT1	-0.95925
SNX17	-1.49133333333333
ASB2	-0.1305
HBG1	-5.259
RPRML	-2.281
JOSD2	-0.311666666666667
PLSCR3	0.79875
SPOCD1	0.753
RAB39	-0.8005
GHRH	0.338833333333333
ITIH5L	0.0785
C17orf37	0.1765
SMCR8	0.35725
DPY19L2P3	-0.865666666666667
IL11RA	0.815666666666667
GDF3	-3.38266666666667
RPS6KB1	-1.10475
DNAJC19	0.014
TOP1	0.19675
CRCT1	0.552375
MPST	-0.096375
DPM2	-0.399125
FAM38B	-0.912833333333333
SLC18A1	-3.4545
FARP1	0.6755
PAX7	0.038
TUBD1	-1.2955
GNL3	-0.0015
BTG2	1.71166666666667
NDUFS6	-0.815
C1orf79	-1.10275
ERAL1	-0.731
ECHS1	0.7555
VPS4A	-0.781
CYP11A1	-0.634
ABCC6	-0.960857142857143
PBX4	-1.6115
MOSC1	-0.544375
NCF4	-0.8615
HYMAI	1.077
NAGPA	-0.80625
OTOP2	-0.0275
ACOT12	-0.02275
MTHFD2L	-0.086375
LOC441376	6.3485
C19orf34	-0.061
RAB1B	-1.409
ALDOAP2	-0.713
NTRK1	-1.14116666666667
ARTS-1	1.1932
SLC6A11	-1.0095
NAP1L2	0.574
CNGB1	-0.0761666666666667
EPB41L4B	-0.148416666666667
FAM134B	1.211875
HS3ST3A1	-0.148833333333333
CPXM2	5.58725
SIRPB2	0.044
CHORDC1	-0.904666666666667
TRIB3	-2.0185
SLC2A5	0.9925
C2orf49	-0.194333333333333
DDX5	-0.497
OR5L1	-0.3245
ANAPC4	-0.2225
ZSWIM1	0.348125
LOC93622	0.211875
KCNK3	0.5104
RP11-35N6.1	-1.416625
ZFP161	-0.02
AQP9	1.9425
SLC15A2	-0.5275
MREG	0.141166666666667
OR9I1	0.9215
PDLIM2	0.97075
ADAM7	0.2875
GSTCD	1.107
WDR21A	0.491125
SLC12A8	0.442
TMEM174	-0.168
IGSF3	0.662583333333333
LRRN1	1.291
LOC402117	-0.180666666666667
SRPK1	-1.23466666666667
LY6K	0.733125
NFIA	4.033
PTCD3	-0.839
LEP	2.43866666666667
PCDH21	-0.7405
MAPKAPK2	0.615
NMNAT1	-0.0783333333333333
LHFPL2	0.668
C9orf43	0.8605
DIP2A	-1.353
ACTR8	0.3075
CCDC34	-0.728
PTPN22	-1.112125
ITGA3	-0.78725
FAM129C	0.377
RABGGTA	-0.269
UNC45B	0.268
KIAA1033	0.155125
ZNF510	-0.0941666666666666
CYP2D6	-1.43333333333333
SLC26A10	-1.102
STX8	0.5755
LUZP1	0.00125000000000002
WDR89	0.675166666666667
EIF4G3	0.3591
C5AR1	0.680125
ZNF623	0.237
A2M	1.21325
TGM7	0.0775
GRPEL1	-0.0463333333333333
LMNB2	-1.103
ROCK2	0.515666666666667
SNX16	0.51375
CCDC66	0.29075
ANXA3	0.78925
KIAA1609	-0.232625
EED	-1.54825
RNF32	0.5365
HES1	0.2672
CLC	-0.0455
ISL1	0.951666666666667
KIAA0528	0.312375
MANEA	0.144625
C1orf61	-1.983
hCG_2001000	0.5145
RAPGEF6	0.7847
KIAA0020	-0.3185
NEIL1	1.21375
C16orf45	1.24075
RBM10	-0.4955
C10orf125	-0.818625
MRS2L	-0.17875
DNAH17	-0.83675
C19orf10	-0.6705
C1orf160	0.669
SLFN12	1.6925
EXOC3	-0.693833333333333
HIST3H3	0.3995
NCOR2	0.361666666666667
TNFRSF9	0.50625
MFSD8	-0.125
ALX1	-3.66066666666667
NOL1	-1.2155
PODN	3.15825
TIAL1	-1.332
HIST1H1E	-0.775
NPY6R	0.25175
TM4SF4	-0.1995
CORO2A	-0.7815
ETNK2	-0.3255
APOE	-0.0197
ANGPT4	0.3745
HDGF2	-0.6225
G30	-0.456
ST8SIA4	-0.64075
F2RL1	0.027875
FAM19A4	-3.3665
CCAR1	-0.08075
B3GNT7	-0.0615
OPHN1	-0.0273
DSCR6	-0.7275
C21orf13	1.44766666666667
GAS2L1	0.134416666666667
RFX3	0.719833333333333
COPS4	-0.07425
BCHE	-3.875
BCL2	2.212625
HBZ	-3.2715
ARL13B	1.298625
MAPBPIP	0.527
MYO15B	-0.53725
SPZ1	0.336
KIAA1324	2.80388888888889
PLCL2	-0.68975
C4orf29	-1.26825
WDFY2	-0.836875
ZNF284	-0.105
NAALADL1	0.5095
DUSP5	1.36533333333333
PXDN	1.20875
SLMO1	-0.87025
TNXB	0.108
BIRC7	-1.517
A4GALT	1.57033333333333
TIMM22	0.4265
FAM110C	1.32175
TOMM34	-1.3455
ABHD9	0.91
ADAM32	1.96
CRHBP	-0.07575
AQP2	0.629875
LOC130355	1.0525
ZNF187	-0.0795
ZNF816A	0.2885
F7	-0.38575
CNOT1	-1.3098
SLC13A4	-2.08325
ZBTB11	-0.582
B3GALT5	0.19825
EXOC2	0.774833333333333
IRS1	0.9635
TMEM1	0.0768333333333334
MRPL34	-0.429
SAMM50	-0.8925
CDC42EP3	0.494625
HSF2	-0.7916
MFN2	0.321
TSPAN7	-0.5325
NUCB1	-0.189833333333333
RHOH	-0.0975
ARL16	-0.286
TACR1	-0.02225
SFRS5	-0.525833333333333
SNX25	-0.255875
RHBDF1	0.531
PCDH18	2.62266666666667
HMG1L1	1.03025
MYO5C	1.00775
MAPK10	1.526
LDHAL6A	0.6012
NUDT12	1.1955
NCAM1	-0.278625
GLIS2	-0.148
GGTL4	-0.438
DAPP1	-0.35975
ATF7	0.784125
KIAA0748	-0.68
NFIL3	0.30275
TM6SF1	0.5778
SEZ6	-0.1525
NANOS3	0.580166666666667
DNAJA3	-0.272333333333333
CLDN6	-3.4035
CIITA	2.3582
EPHA4	0.163833333333333
FANCC	-0.35175
CMTM3	0.413375
PSG3	0.00124999999999999
MRPL15	0.04025
C21orf59	0.449
PLCXD2	-0.66325
C2orf34	-0.2125
UBE2L6	0.69625
MED14	-0.3375
HP1BP3	-0.8143
C6orf208	0.0305
TPBG	1.78075
OSR2	2.337375
XPC	-0.341333333333333
KLHL7	-0.597833333333333
CCR3	-0.447166666666667
AGTPBP1	-0.747333333333333
PCSK6	-0.608666666666667
STAT5A	-0.824
FAM18B	0.15575
LONRF2	2.10066666666667
PTPN2	-0.369625
SF3A3	-0.628666666666667
EFCBP2	0.436
HCFC1	-1.50766666666667
AHNAK	0.48865
ACTR5	-0.37025
KIF14	-3.85714285714286
TENC1	1.43675
HEATR5B	0.8605
YIPF2	-0.05
MYEOV2	0.308
DUSP18	0.94975
KIAA1012	0.32825
AHR	0.732166666666667
C17orf53	-2.44766666666667
PTPRH	-3.69625
ATP6V1C1	0.222
TAS2R3	0.099
LOC440356	0.02725
COQ10B	0.4635
PSMF1	0.202083333333333
SORBS2	2.26591666666667
NFE2L2	0.453
TMCO7	-0.6315
SH3PXD2A	1.4261
SH2D2A	-2.027
SPINK5	-3.54425
MRPS24	-0.98025
OPA3	-0.092875
TRAF7	-0.411
C4orf35	0.092
MT1G	0.179625
MGC39545	-0.1355
HS1BP3	-0.1965
OR2B2	-0.074
CHRM4	0.446
SFRP2	4.02191666666667
RIC3	0.49975
ART1	0.091
C6orf1	0.16175
DUS4L	-1.126
C10orf104	0.701
TNFAIP6	3.79275
RTEL1	-1.561
CCT4	-1.0447
ZNF709	-0.0175
CHMP6	0.00283333333333333
UPP2	1.01675
CYP19A1	-1.467
CD151	-0.843833333333333
NDUFA13	0.0836666666666667
ARFRP1	-1.44616666666667
FAM26B	1.78
CRYBA1	-1.828
MRPL41	-0.04
NPFFR2	0.649125
HRH2	-0.241
SCAMP3	-1.03433333333333
MTMR6	0.4685
MTG1	-1.55566666666667
UBTD1	1.38025
CRABP1	-1.978
FLJ33790	0.1417
KIAA1908	0.217666666666667
GPR158	-1.03725
PACSIN3	-0.5835
OMD	4.19516666666667
CATSPER1	0.458833333333333
HOXB8	-1.61325
FBXO46	1.1885
OAS1	0.543
SVIL	0.48575
PHB2	-0.877
ADCY3	-0.2575
NDRG2	1.40916666666667
ERMAP	0.4619
APBA2	-1.534
IGSF9	0.97825
WNT6	-0.152928571428571
MYCBPAP	0.936
ATP2B2	-0.207125
CPVL	-1.0931
TRAM2	-0.725916666666667
NOP5/NOP58	0.3355
ZNRF4	-0.485
TLK1	-0.088
MTMR12	-0.267071428571429
ZNF384	-0.592166666666667
FAM9B	-3.3885
RPN1	0.7246
PMVK	0.63025
EIF3D	-0.3174
SIX2	-0.741
HPS1	0.375714285714286
RNF7	0.59725
PSKH2	0.6675
KCTD13	-0.509333333333333
CSMD3	-0.4978
FBF1	-1.037
IL8	-4.55075
SERPINB13	0.575583333333333
FBXL20	-0.24025
BLR1	-0.15925
SH2B1	-0.197666666666667
RFNG	-0.69575
RAB20	1.65133333333333
RBM7	-0.906
POLR1A	-1.11616666666667
TMPRSS4	-1.50825
TAF9	-0.909
TERF2	-0.934
TNFRSF1A	0.649833333333333
ACADVL	-0.332666666666667
GTF2H5	0.73075
EDG8	0.709833333333333
C9orf140	-1.081375
UST6	0.38975
ZBTB8OS	-0.60425
ZNF710	0.5805
GPR174	-0.938
ATP6V0A2	-0.72825
KIAA0319L	0.827833333333333
XKRX	0.327
DOPEY2	0.6067
SDHD	-0.373333333333333
SUMF1	2.22775
OSM	1.531
OPN3	-0.456
DAGLB	-0.780166666666667
PPFIBP1	1.4005
TRIM63	0.06425
C10orf53	1.048
LYPD3	0.738666666666667
BCL7A	-0.04175
AGER	-1.4285
TCF19	-2.48775
SAT2	0.1645
PFTK1	1.342
GABRE	-2.99625
C15orf38	1.7975
FIS1	0.0285
KCNV2	0.073
CLPS	0.92
PPCDC	-0.641625
FOXN2	1.055
NT5E	-2.6013
CD83	-0.0125
IL18	-0.189875
VPS16	0.1555
IGFBP2	-0.321666666666667
NOTCH2	0.7755
SIGLEC1	1.93585714285714
CD93	5.742
SULF2	1.87575
CEP164	-0.012875
P53AIP1	0.703
TOR2A	-0.119333333333333
ZNF136	0.7665
MGP	4.0151
CCDC144A	1.17916666666667
TRPC1	0.313833333333333
SMS	0.633333333333333
MAPK7	-0.110833333333333
RRAGC	1.15425
PARD6A	0.149333333333333
NUB1	0.177666666666667
SYNGR4	-0.31125
OR11H12	0.1635
WIF1	4.025
GCH1	-0.194
OR11H4	0.684
SLC44A5	0.2595
GPRIN2	2.66033333333333
LOC401431	1.0025
CPA4	-2.6821
MELK	-4.12766666666667
IL15RA	0.71075
CUL3	0.7865
HMBOX1	0.67375
PODXL	-1.59175
CCT6B	1.82566666666667
COMTD1	-0.56175
MUC20	0.2495
GPX2	-2.814125
ITK	-1.18275
FBXL5	1.606
C13orf27	-1.8685
DEFA5	0.4965
TRHDE	-0.603
MTP18	-1.1035
UQCRQ	0.1419
ITGB2	0.79025
CSRP2BP	0.07675
TAS2R44	0.448
PHPT1	0.402625
FAM44C	-0.33675
ERH	0.545
MPHOSPH1	-2.4755
MORC1	-0.611
PARVB	-1.38625
LAMA1	-2.11325
PGBD3	0.13075
GIMAP6	4.27925
AREG	0.2795
LIPT1	0.04875
MGC99813	-0.3865
C1orf201	0.232833333333333
GRIN2A	-1.01655555555556
MAN2C1	-1.3855
NSUN5	-1.213
SF3B5	0.32375
MYC	-1.639875
NRXN1	0.436666666666667
ZNF18	0.78275
SPDYA	-0.8465
SLC37A1	1.0595
DECR2	0.78225
ANKRD38	2.062125
SPTLC3	-0.440916666666667
SUPT16H	-0.068
DTWD2	1.17075
ULBP1	0.473
ZADH1	-0.1135
OIP5	-4.01825
IL10RB	-0.610333333333333
OTUB2	-0.300875
VWA3A	0.3635
SPIC	0.178833333333333
OR6C4	0.385
PSCD4	1.033
DPY19L2P2	-0.5195
TRAPPC6A	0.809
C21orf2	-0.384166666666667
CEMP1	0.90625
LIN7B	-0.142
E2F7	-3.03066666666667
VCP	-0.422375
LAMA3	1.42958333333333
BGN	2.24975
GPR160	0.374
COCH	-4.57816666666667
GPR81	1.7435
APOBEC3F	-1.7955
tcag7.1017	-0.73275
C1orf32	0.357
SCGB1D2	6.6645
FLJ43987	-0.299
C6orf170	0.7935
KLK9	0.5565
GPD1L	0.66975
VPS37B	0.427
ATG3	-0.612166666666667
ADAMTS17	-0.124
KLHDC2	-0.576333333333333
NDUFV2	0.02375
BLK	-3.062
MATN4	-1.8375
GPM6A	0.225125
GBP4	3.14016666666667
TMEM162	0.0726666666666667
PKP2	1.049
HRASLS	1.20444444444444
MMP1	-3.7255
SFXN3	0.105
FSD1	-2.503
ST6GALNAC3	-1.47516666666667
CA12	2.6713
NCOA6	0.34275
C19orf58	-0.4791
PPP4R1	-0.2915
MAN1A2	0.966166666666667
IKBKAP	-1.6205
UPF1	-0.156666666666667
KIAA1219	0.36475
WNT16	-0.368166666666667
SNW1	-0.2525
IL18RAP	2.63575
RPP30	-0.608625
CDC40	0.286142857142857
SETD3	0.5835
SLAMF6	-0.15875
ELK4	-1.462
TRIM47	0.2235
ACOX3	0.9075
TRIM6	0.713
KIAA0372	-0.422833333333333
TP53AP1	1.628625
SMURF2	-0.85325
ADAD1	0.027
EBP	-1.74
KRTAP13-2	-0.137
FLJ36874	-0.9745
TOR1A	-0.358833333333333
P2RY4	0.073
GPBP1	-0.02025
TRPV1	0.223875
ADAMTS12	1.087
PES1	-1.4246
ATG4A	0.3735
MAGEA10	-4.371
WFS1	1.795
CC2D1B	-0.122166666666667
PABPN1	-0.154625
SLC25A30	0.9325
SLCO1C1	0.100333333333333
SLC22A5	1.4375
KIF23	-3.176
SYN2	0.0583333333333333
ASPN	9.369
CENTG2	0.0745
QSOX2	-2.3676
FLJ10815	-0.3095
STK24	-0.148875
SPEG	0.0817
STK10	-0.330833333333333
DACT2	-0.4015
AAAS	-1.0775
SSX3	-1.964125
ABCD3	0.6404
C4orf12	0.328
PARVG	-0.1695
FIG4	0.705
C9orf46	1.03275
TMCO6	-0.696
IGHMBP2	-1.464
DUS2L	-1.15666666666667
FAM3C	-0.5150625
TMEM16D	-2.47425
DCTN4	0.93225
KCNH3	-0.33275
EIF2AK2	1.23075
AP1S3	0.07875
CST4	-0.2385
PAM	0.6030625
NUTF2	-0.634
CITED2	-0.212
SLC39A4	0.45275
C2orf52	-0.637
GRM3	0.455
C12orf49	-0.28525
CCDC49	-0.7245
GRAMD1B	-1.792625
FNDC4	1.33
SIAH2	0.7575
GDPD4	0.198666666666667
C21orf87	0.457875
ATP5A1	-0.523666666666667
C16orf63	-0.322625
LOC388135	1.58216666666667
ATP5J2	-0.665125
MMP3	-0.11725
EMID2	0.01125
CRHR1	0.47325
WDR70	0.1905
C13orf31	1.87075
ZFAND1	0.13175
CCL18	3.0965
C3orf49	-0.285
RINT1	-0.716
KIAA0408	-1.24766666666667
F13A1	5.1026
SLC10A1	0.159666666666667
OGN	3.752
GIPC2	-0.148333333333333
XPO6	-0.615833333333333
LCE1A	1.352
FMR1	0.3979
LOC374920	0.72075
DUSP3	0.173875
ANKMY1	-0.12675
C7orf50	-0.369
BBS9	-0.1856
UNC119B	-0.201625
C9orf72	-0.505
MGC35440	-0.372
ENTPD6	-0.621875
PPP1R2P9	0.64775
ERCC4	0.1075
FAHD2B	-0.4985
HMHA1	-0.3795
HACL1	-0.84825
RAD23A	-0.339666666666667
FAM83B	-1.429
PPP5C	-2.115
RNASEH2C	-0.560625
C9orf153	-0.241
SCAMP4	0.433875
GHITM	0.1471
NDUFB7	0.38225
ADCYAP1	2.438
SP110	1.7245
MAP3K7IP2	1.11775
DHH	-0.4095
AGRN	0.131428571428571
WDR33	0.132
CEP290	1.8035
PRPS1L1	-1.77083333333333
KLRA1	0.021
GPR97	-0.407
CHD7	0.274833333333333
TLR10	0.291
SLC30A8	-1.7895
HIC1	1.40333333333333
IAPP	-0.0595
RXFP4	0.3075
GP1BB	-0.03175
SHQ1	0.786
NKX2-3	0.266333333333333
API5	-0.20775
FTHP1	0.3245
MOV10L1	0.493
TRIM6-TRIM34	2.66633333333333
ADHFE1	1.60875
FAM117A	-0.3925
DDI1	-0.0458333333333334
CDON	0.135333333333333
TRIM73	-0.1815
IGKC	5.122
MMP14	0.130916666666667
DYNC1LI1	-0.1915
C11orf66	0.6195
TRBV3-1	-1.302
FASTKD5	-0.10775
BIVM	-0.16875
LHX4	-0.19475
CXCL2	0.0571999999999999
RAB2B	-0.951833333333333
IZUMO1	-0.835
MAP3K15	-2.0185
FAM19A2	0.7165
ZC3H8	-0.778666666666667
ZMAT1	2.5955
SPINK5L3	-3.163
SLC10A6	0.8005
APPL2	-0.06625
CARD10	-0.861333333333333
LOC402176	-0.262875
EEF1D	1.55
RAB6A	0.3105
C12orf5	-0.57375
PAPOLG	0.13525
MSRB2	1.00875
BCR	-0.519833333333333
PUS3	0.534
TIAM2	1.01925
ZNF317	-0.483
CHD2	0.1165
FZD5	-2.12345454545455
NUDT8	-1.7475
ZNF763	-0.36
PRC1	-3.26177777777778
ABCB9	0.00616666666666667
SPATA3	-0.08525
TRAK2	0.828625
STAB1	2.84925
LRRTM2	0.452166666666667
psiTPTE22	-0.3805
DBI	0.15025
SERPINA11	-1.5665
NAT5	0.01975
C20orf58	-1.42175
RPS6KA4	0.3685
FLJ90650	-0.7
TGFBRAP1	0.574
CHRDL2	1.641375
FAHD2A	-0.849833333333333
CNTN1	0.749
BBS4	0.0658
TMEM181	0.33825
MINPP1	-0.5935
MPHOSPH6	-1.06333333333333
HOXC10	1.6672
ITPKB	-0.538
CLPTM1L	-0.79875
MEOX2	0.746833333333333
ATP6V0C	0.412625
PRPF8	-0.6915
TMC5	3.37825
FKBP3	-0.60025
PLEKHB2	-0.93825
OR4D6	0.7865
ZNF544	-0.3638
D2HGDH	-0.68275
RPL18A	-0.5467
HEL308	-0.24875
MPP6	-3.2445
TCERG1	-1.30925
KRT16	0.660833333333333
KLF17	-0.64375
KLF5	-0.0348750000000001
CDR1	3.088875
VCX3A	-3.801
FBLN2	2.480875
C14orf104	-0.01475
HBE1	-4.6832
OR4S2	0.6245
C1orf108	-0.972833333333333
ROBO4	3.83566666666667
CPEB4	0.873125
C11orf80	-0.258833333333333
BCKDHA	-0.0341666666666667
MYOC	1.4095
GIF	0.108
CKMT1A	0.408
RPL3	0.5205
THBS1	3.047375
APOO	-1.10175
ARMCX1	2.014
HSZFP36	0.54975
SNAPC5	-0.42525
EIF4ENIF1	0.823
ZNF433	-0.05475
TNFRSF21	-0.597875
TMPRSS7	-0.3525
SPATA18	1.7715
HPDL	-2.706
MKL2	1.6387
TBX3	1.37046153846154
C21orf93	-0.0191666666666667
DAXX	-0.004
ELMO1	0.11625
RGS13	2.6715
TAF11	-1.05525
UNC13A	-2.26525
LOC653314	-0.3289
ORC3L	-0.20575
IMAA	-1.4465
TARBP2	-0.602
CABIN1	-0.05
TRIOBP	0.0698125
HIST1H2AC	0.302625
RGS22	2.14466666666667
NCOA1	1.63683333333333
IL25	0.5775
SNCG	1.1795
GPR6	0.4475
AMDHD1	-1.01633333333333
CHEK2	-1.83925
C6orf142	-0.6175
DRD4	-0.6115
C14orf68	-0.646
GDF11	-1.71075
SEMG2	0.02
CD247	-1.731
CDAN1	-0.13975
RBMX2	-0.0515
TGS1	-0.64475
OIT3	-0.331
SYF2	0.28025
MCM4	-1.94425
PKHD1L1	0.199875
CEP192	-1.05183333333333
IFT88	1.25725
RPL9	0.670785714285714
RAB32	-0.527375
DDX43	-2.4475
P2RX2	0.9425
OR5D18	1.1315
UBE1	-0.86525
SLC24A1	1.192625
ARHGAP5	0.258
CETP	-0.65025
KIAA1731	-0.0865
SLC9A4	0.6525
PTPN6	0.29925
BAHD1	0.62125
GRIK3	-0.2105
CACNB2	-0.2822
PDE10A	0.49225
DGCR14	-0.631
PCDHB9	-0.677333333333333
RHOQ	0.774833333333333
MAP3K4	0.15825
KTI12	-0.0945
RPL23AP13	-0.499
GNG11	0.36575
CLCN3	1.14383333333333
GPAM	-0.529375
VSTM2A	0.614
SLAMF7	2.02233333333333
INTS2	-0.899
PPP2CA	-0.1685
LRP12	0.407733333333333
SEC14L2	1.79511111111111
DKFZP586H2123	3.65525
MC3R	0.032
CIRH1A	-2.03366666666667
