Hybridization REF	TCGA-AN-A0FT-01A-11R-A034-07
LRRC17	-0.4
TTYH3	-0.142
ATP5B	-2.741
ELF3	1.0398
CPSF3L	-0.447333333333333
ZNF665	0.153833333333333
TLR6	-0.4458
GPI	-1.17525
RAD9A	-0.529375
NDST4	-3.47225
AGPAT3	1.24441666666667
MAGI3	2.54283333333333
ADORA2A	-0.4965
CACNG7	0.3465
CAMK2D	-0.835714285714286
CCHCR1	-0.46775
RPS27A	-1.85675
OR10G7	0.687166666666667
GCM2	-0.6165
FAM135B	4.2374
E2F1	-1.255
PLCB3	1.08775
OR2AE1	-0.2125
COIL	-1.42933333333333
CDC25C	-2.004
RAB11FIP2	0.1
TSC2	-0.579
CTGLF5	-0.846
CCDC108	0.8319
OR13C4	0.35125
C10orf81	3.361
PTPRB	2.55875
ACP2	-0.34725
LAG3	1.64875
MRPL54	-0.11775
LOC201175	2.3425
ITGB1BP3	-0.0965
SPTAN1	-0.1575
SIPA1L2	1.16325
RCAN2	-0.347
CDX2	-1.7815
ECOP	-0.4265
ACTR1A	0.314142857142857
PPARG	-1.24283333333333
BBS10	0.754333333333333
TMEM44	-0.26225
BPIL2	0.823
CITED1	-1.179
IRF6	3.9825
PRDM4	-0.165833333333333
RRP9	-0.213833333333333
OR10H4	0.64475
IL31RA	-0.36175
GNB1L	-0.576
MYBL2	-2.5545
ZNF407	0.742666666666667
PPIG	1.688
TTC18	4.021
RPSA	-0.379
MAPT	-0.1965
MRE11A	-0.232357142857143
C8orf37	-0.555
RASGEF1C	-0.704333333333333
STBD1	-1.23975
CTAG2	-0.359666666666667
MGAT5B	-2.51483333333333
ECM1	0.81925
RLN1	0.8505
PARP14	0.24425
EPB41L1	1.342
HOXA3	-0.370583333333333
MAGEA9	-4.20225
RPS8	-1.29083333333333
RPS19BP1	0.575
FOXJ2	-0.105875
C10orf76	1.09925
IL17RE	1.34575
C10orf65	-1.9905
ZNF343	-0.902333333333333
FBXO33	-0.17375
UHMK1	-0.21
LY6G6C	2.24025
FGF19	-2.48925
C14orf128	0.349333333333333
IFIT2	2.231625
TIGD1	0.03325
S100G	-0.2035
GUCY1B3	2.077
NR3C1	-1.1162
CORO1B	0.004
PARP11	-0.51775
DNALI1	5.54816666666667
OR4N4	0.3515
MAP2K6	-0.2555
FSTL4	2.566
ANKRD47	1.661375
TMEM171	-0.654
PNLIP	0.327
YY1	-0.0336666666666667
CCDC138	-2.40466666666667
AASDHPPT	-0.8876
CKS1B	-1.0989
MCM3	-1.03466666666667
ANAPC7	-1.39416666666667
FAM110A	2.8345
CDC37L1	1.0305
THTPA	0.7625
NBPF20	1.124
WDR24	0.80275
NPTX2	-2.99875
CBLB	0.535666666666667
CETN1	0.79
RPUSD1	0.52375
FAF1	-0.86475
CDK6	-2.791
HMX2	0.202
CSK	-0.541833333333333
TEAD2	-0.88325
SNAP25	-1.13575
TUFT1	1.7014
TMTC3	1.98333333333333
LCK	-2.32725
SGOL1	-1.11333333333333
AKTIP	-1.51525
FURIN	-0.721
SOX12	-0.329166666666667
DEFB103A	-0.22025
RAMP1	3.1805
KIR3DX1	0.328
GAS2L3	-0.00725000000000001
PDE8A	-1.861
EDN3	-1.137
GMIP	1.37925
SF3A2	1.8
FN3KRP	0.16725
SMAD7	0.73225
RHBDD2	0.1585
OR11H6	-0.4965
PPP1R3B	1.1197
C9orf23	0.97675
CADPS	-2.2115
GOLGA8A	-3.552625
TMEM57	0.9505
RGL3	1.876
S100A14	4.36625
FGFR2	-2.1631875
XRCC3	-0.067
RTN4RL2	1.82125
MGC3771	1.7375
GH2	0.6685
BTBD2	-0.1445
LMO2	0.197
RDBP	-0.537
ACRBP	-1.12775
AMY2A	0.16225
DUOXA1	2.0085
PTK7	0.754333333333333
TWF2	-0.6005
FAM80A	0.9065
TNNI2	-2.39516666666667
GLT25D1	-1.13183333333333
OCC-1	-1.93225
CYC1	-1.10833333333333
RPL22	-0.389045454545455
MORN3	1.629
DISP1	0.29
PRB2	0.403
CHUK	-1.639
HR	1.9535
CCDC134	-0.391125
DENND4B	-0.347
C14orf130	-0.047375
RAB33A	-1.73825
DCST2	1.0225
TNMD	-1.5455
PEX7	1.011
FAM62A	0.226125
SRD5A2L	0.1095
IL22	-0.13425
RPS26	-2.09616666666667
HOXC5	0.96
SPATA6	-0.17175
FLJ38482	0.8425
ZNF234	1.609
C18orf22	0.981
SPATA22	0.35725
THOC1	-0.67125
CYP7B1	3.16075
KCNC3	0.533
C8orf42	-0.7965
ALDH1B1	-0.278
CCDC100	-1.302
ARMC4	-4.193
FAM18B2	-1.4285
SLC44A1	-0.1315
FBXO17	-0.835166666666667
C6orf107	-0.356
C19orf29	-0.2395
ZC3HAV1L	0.7625
PARP6	-0.7124
SULT2A1	-4.5755
C1orf159	0.3285
TMC1	-0.72125
CHST14	-0.316375
GAMT	1.08166666666667
SMCP	0.0878333333333333
TSPAN33	-1.05325
MIDN	0.95575
NOX4	2.30525
RNASEN	-0.7047
TBX1	1.9635
SALL2	0.391
C10orf35	1.04375
CYP2E1	-0.12875
LRFN2	3.46316666666667
ACO1	-0.833666666666667
IQCG	1.7123
MEGF9	0.41625
TM7SF4	0.74525
PLEKHA1	1.1564
STK33	-2.841
C1orf210	2.6125
SNUPN	-0.9058
KIAA0406	-1.6637
C20orf29	0.53625
TMEM55B	-0.14725
OSTM1	-0.4944375
CLCN7	0.859
OTP	0.556
FLJ23049	-1.991
HEATR4	2.2755
MAP3K10	2.03116666666667
PCDHGA9	0.8165
AMDHD2	-0.83175
LCTL	-2.6315
PDCD2L	-0.55825
CABLES2	0.32375
SLC5A9	0.192
CLCA2	-2.175
MGC16025	-0.6095
STRAP	-1.66933333333333
C20orf196	-1.668
RRBP1	1.31516666666667
NAT13	-1.1105
MAT2B	-1.369375
CSNK1D	-0.797
KIR3DL1	1.055
PRKAG3	-0.3635
ZNF599	-0.1815
PRM3	1.877
PER2	1.54016666666667
ASPHD1	0.4105
PRMT6	-0.7375
KCNE1L	0.298285714285714
FAM118A	-0.983666666666667
TAF4	-0.7115
NDUFB6	-0.52475
TRIM9	-1.40741666666667
PMFBP1	-0.325
KY	0.0345
DKFZp762E1312	-2.19863636363636
CSMD1	-1.669
TBP	-0.381666666666667
OR1Q1	0.287666666666667
RETNLB	0.4105
HPGD	-0.297428571428571
DNAJC12	-2.277
FKBP1B	-2.13175
ANKRD24	-0.694666666666667
CXXC5	1.98466666666667
IL3	0.121375
DRAM	1.3801
PTCH1	-0.503
TP53BP1	-0.60275
SLC17A7	0.6605
COL25A1	-1.1397
AMACR	-0.980166666666667
RHCG	-0.61975
VPS13A	-0.2495
FAM55D	0.9045
PRPF38B	-0.815666666666667
OSBPL6	1.52425
PFDN5	0.4175
CMTM6	0.19025
KCNK12	-1.266
RP2	0.36025
C16orf52	-2.098
PICK1	-0.3305
IFNE1	-1.6725
SEMA4B	-0.38975
TYRO3	-1.73775
OR12D2	0.0075
CSNK1A1	0.0203
FANCF	1.51275
LONP2	1.42775
TBL1Y	0.4305
LDOC1L	-1.216625
CCNC	-1.508
C3orf60	1.04825
CHKA	-1.01425
UBAP1	-0.1625
MAP3K1	1.1905
ANKRD9	0.50375
FAM92A1	-0.381666666666667
GAB2	0.12875
AZU1	-0.1415
DIS3	-0.3835
C21orf109	-1.99825
IQCB1	-1.77775
SPATS2	-0.855833333333333
EFCAB3	0.51425
PRB3	1.683
FUZ	0.671166666666667
ZNF813	0.073875
BMPER	-1.27
HEG1	0.339375
ALS2CR11	-1.86775
SURF2	1.379
PSMC1	-0.642833333333333
OR2D2	0.466
SLC7A8	3.69133333333333
C4orf40	0.244
SPATA7	-0.44025
MAZ	-0.340166666666667
PIN4	-1.02225
PDE1A	-1.117
TAF6L	0.652333333333333
OR2T34	0.796
KIAA0284	1.32175
ACADS	-0.258545454545455
MKRN2	-2.2595
C18orf56	-3.15875
MS4A6E	0.407
GALNT4	0.9888
C22orf31	0.316
FLJ36070	1.9405
PSME4	-0.88425
TFG	-0.7645
EPHX2	0.018375
ANXA5	0.0335
KRTAP1-1	-0.387
BATF	3.095
KARS	-1.433
MSTP9	-1.4045
GPR26	3.541375
CCDC72	0.81875
TEF	1.13216666666667
FOXK1	-0.4667
PRLHR	0.585
EMX1	2.111
C11orf30	-0.32625
ICK	1.015125
THSD7B	0.05725
C21orf100	0.065
DUOX1	0.496
EFCAB4B	0.96925
UBE2G2	-0.659833333333333
C3orf54	1.076
PARP1	-0.025
FAM60A	-0.259
C6orf146	0.0335
OR9K2	0.522
DDX55	-1.11816666666667
RPS15	0.295
ZNF618	1.17525
DKFZp686D0972	-0.11875
SSPO	-0.66
SHFM3P1	-0.0343333333333333
CPA6	-0.8705
JAG2	0.54
DEFA3	1.323
PPBPL2	0.17
CD34	4.874
SLCO4A1	-2.4505
AFG3L1	-1.37816666666667
SHD	-0.02825
RP13-122B23.3	-0.716833333333333
PRKCSH	-0.38
DPH5	-1.25066666666667
HLA-F	1.083875
TBC1D4	-0.18825
RIG	-0.0523333333333334
GLUD1	0.840166666666667
HNRPCL1	0.128125
HBXIP	-0.93425
RNF207	-2.0705
APIP	-1.48675
PLA2G3	-2.14516666666667
CCDC84	-1.41475
MYLIP	0.0744615384615384
PHIP	0.1695
AARS2	0.3745
DHX32	-0.073
SCAPER	-1.5965
MEN1	-0.2485
NIP7	-1.02375
FLJ25404	1.402
FASTKD3	0.08075
TMEM158	-2.2015
RARA	2.68
BDH1	0.6825
ANKRD16	0.217
CARM1	2.3155
SS18	0.198
IKZF2	0.133583333333333
MYD88	0.239125
PML	0.37175
TAF1A	-1.355
CBFB	-0.389625
HIST1H3H	-0.250333333333333
C7orf29	-2.8915
COMMD4	-1.1335
DPP3	-1.16925
DAB2	0.427125
LOC388882	-0.2305
YPEL4	-0.309625
AGBL3	2.054
LRP6	1.7186
SERPINH1	-0.173916666666667
TLE1	0.1265
CD244	0.490666666666667
ZDHHC15	-1.1055
MGLL	0.2434
PLDN	-0.228
LOC654346	1.7565
FAP	3.00475
GPR37	-0.515
SCARA5	1.69633333333333
EBF4	3.45718181818182
LSM6	-1.09675
MLLT1	-0.1244375
SLC5A12	-0.48
A2BP1	-1.66583333333333
COPS5	-0.423
TPM4	0.0887857142857143
TNFSF4	0.671666666666667
ACADSB	0.542166666666667
HERPUD1	0.38475
BCL2L11	-0.559888888888889
CEP78	-1.700375
CDCA3	-1.4905
WBSCR19	0.0394
MYO1A	-1.836
PPEF1	3.0175
LOC440348	-0.05375
CPEB2	-0.151875
BPTF	-0.34525
RPL21	-1.0151875
GSX2	-0.005
ADPRH	0.996666666666667
C17orf68	-0.349
KCNS1	-0.3175
MLLT6	0.3911
PIWIL4	-1.0225
RNF26	-0.80375
RAP1B	-0.22925
ADAMTS1	-0.8659
ZNF571	0.43525
P2RY6	1.122
TRIM21	0.628166666666667
CADM3	0.991
NLRC5	0.324666666666667
ADRA2B	0.876333333333333
LOC90835	0.79275
PCF11	-0.8475
LOC400451	2.04225
GLTSCR1	1.4729
C17orf88	-0.152166666666667
CDH16	-1.09975
FGF7	2.22
PCSK4	2.402
NPC1L1	0.7635
TAT	0.273625
TBCA	-0.8885
MGC33407	-0.11225
GPR115	-1.46975
CYGB	0.214
FNBP4	-0.983
C12orf43	-0.494
CBL	-0.3363
CLECL1	0.50575
PPAPDC1A	1.55425
WDR25	-0.311666666666667
SGCA	0.4925
C22orf29	0.2535
YIPF1	0.663
GALK2	-0.981
RAB3B	-3.15533333333333
LOC440087	-0.91475
UCP1	-0.2635
REEP5	1.26525
FADD	-0.8943
FOXA1	3.59875
CACNA1A	0.9425
ABI1	-0.388833333333333
GRIN2D	2.0115
SLC1A4	-0.5755
LOC401127	-0.0905
HINT2	0.68375
PLD4	0.283
ZNF286A	-1.17875
ENY2	-0.3215
IL1F6	0.6795
PXDNL	2.75725
C20orf79	0.36525
TNFSF13B	2.79983333333333
DENND3	-0.1155
JARID1D	-2.9145
HIST1H2AK	1.586125
LOC93349	-0.3961
SSH1	-0.6566
ENSA	0.41725
LOC219854	-0.939166666666667
CKAP2	-0.7443
DKFZP564J102	-0.7005
MGC87315	0.197666666666667
HNRPAB	-1.46775
AMH	-0.2745
ZNF526	0.767
BRUNOL5	-0.1759
CACNG3	0.268666666666667
TRPM1	-1.838
PPP2R1A	0.399125
COL2A1	1.789
DDN	0.385
FLJ25770	0.376083333333333
HK2	0.715428571428571
ELOVL6	-1.279
MDK	1.38925
EPHX1	-0.01625
RASSF2	0.4975
DKFZP434B0335	0.351
DLX3	-0.529375
PRTN3	-0.16675
AVPR1A	1.32675
C21orf125	-1.71475
TNFAIP8	-1.65583333333333
GNB2L1	-1.7505
CALCRL	3.8455
SCGB2A2	9.9385
UBXD7	0.646
ZNF674	-0.359
TMEM35	-0.143375
BRSK2	-0.726375
HECTD3	-0.343
TMEM188	-0.6915
LGALS9	1.410125
SCARB2	0.2935
USP34	-0.763916666666667
C17orf28	1.44225
ZDHHC23	-0.65025
AQP12B	0.45
SLC16A3	-1.218125
APLP2	-0.02325
ITIH2	-4.87325
MICAL3	-0.23
TNNI3K	-0.3944
HDAC2	0.24075
PRR7	0.6446
THBS2	0.20275
LOC751071	-1.31583333333333
CA2	-0.654
RANBP17	-2.16325
RLN3	0.09
CRYZ	-0.767666666666667
GBAS	-0.623
TAS1R1	-0.03675
MPZL3	0.397
PCDH8	-2.74375
HSP90B1	-0.188833333333333
KCNK15	1.857
TNIP2	-0.6115
GPR146	0.4545
NOL6	0.869125
SPC25	-3.67788888888889
STEAP2	-0.3055
VAMP3	-0.5605
TCIRG1	-0.405
ZP4	-0.201166666666667
PARL	-1.820375
TRIM39	0.4335
KIAA1305	2.442
CRNN	-0.338666666666667
GRN	-0.19625
HSH2D	-0.20925
SCAMP1	0.43275
KIAA1913	0.2925
PTS	-0.68575
BANP	0.1465
PRKACG	0.2505
ADCY6	0.559166666666667
C16orf46	0.753
CYP51A1	0.70925
DDC	-5.341
ANPEP	-0.907
PROM1	-2.03666666666667
SIGLEC10	1.52825
COPG	1.2485
FAM26E	0.510375
TRIP4	-0.54225
SNX3	-1.00566666666667
C1orf175	0.817
PPY2	0.789
C14orf152	0.34775
FTSJ1	-1.45766666666667
DST	-0.9409
LOC554235	0.68375
GLRX5	-1.4515
C20orf12	2.1297
CAB39	-0.3215
MSH2	-2.33666666666667
PIP4K2C	1.6965
CYLD	-0.095375
WTAP	-0.6215625
MGAT4A	2.61566666666667
TSC22D4	-0.7685
CHRM2	-1.2665
PPYR1	0.851333333333333
CCNH	-0.87
RRM1	-2.00575
ECAT8	-3.382
LOC400120	-0.21125
GABRA4	-0.21075
C14orf4	1.5865
C1orf59	0.254
CTDSPL	0.232166666666667
NHEDC2	-1.4555
PDE11A	-0.00820000000000004
KLHL29	-1.2165
CD5	-0.7641
TSPAN9	1.55925
WDR67	-0.55525
THUMPD1	-0.0839
C18orf17	0.0385
CLYBL	-0.928333333333333
FLJ13231	0.666625
CMBL	2.47025
LECT2	-0.47925
NKAPL	1.15766666666667
LOC654780	0.595
OR4C6	0.732
RAB30	0.9425
TSSK4	0.0635
TMEM163	-0.626
OSBPL11	0.0294166666666667
GNB5	-1.66733333333333
CCL21	0.584
C1orf121	-0.124833333333333
FMO2	2.14033333333333
RPTN	-0.5565
MSTN	0.486
VCL	-0.0507857142857143
FYTTD1	-1.348
C11orf1	-0.18775
CCDC88C	0.753125
HFE	-0.410833333333333
MOGAT1	0.7455
FAM125B	0.357166666666667
IRGQ	1.1125
RAVER2	-1.69725
AKAP5	-0.1185
SSSCA1	-0.61975
C11orf63	-0.495
ACTG2	-0.6031
PORCN	-1.1315
DTL	-1.48154545454545
TMEM151	1.334
FAM122C	-1.29875
RSAD2	2.0972
BAT4	-0.2295
KRTDAP	1.58316666666667
MYH8	0.72525
CRTC3	-0.68675
LRRFIP2	0.1466
INTS4	-0.949333333333333
TTN	-1.17783333333333
SLC26A5	1.15
PLLP	-1.22575
RGS6	-0.836375
SRGAP3	0.76875
ZNF525	-0.281166666666667
NBR2	-0.0083333333333333
C13orf1	1.1955
ZNF137	-0.0095
CEP27	-2.05875
BEST2	0.8325
RNF121	-1.511
DMRTC2	0.0975
C8orf76	-0.2065
BCCIP	-0.289875
MEST	-1.87125
HTRA2	-1.006
ANGPTL2	0.97675
ILKAP	-0.663
ERAS	-0.4415
HBS1L	-0.1595
CPA5	0.7295
TMEM30A	-0.415666666666667
CD300LF	1.92783333333333
WISP3	-1.0405
CRK	-0.0146428571428572
PDS5A	-0.4199
BRPF3	0.195666666666667
NEDD9	-1.046875
SMPDL3B	1.15075
PSG6	-0.92325
PSMD13	-0.52225
ETV5	-1.4443125
OR51A4	-0.434
BTBD7	0.869666666666667
GSTO1	-1.0265
hCG_16001	2.006
MAD2L1BP	-0.823666666666667
COX6A2	2.288
SCNN1A	2.619
LSM1	-0.588
UGT2B11	-3.458
IDUA	1.80125
PPP2R3C	-1.75216666666667
COX11	-1.58366666666667
PDZK1	-1.7285
ZNF443	1.522
MGC21874	0.877833333333333
ZNF323	-0.2374
KRTAP10-10	0.849
CXCL6	-0.52225
SLC34A2	0.082
LOC284402	0.5725
NPTN	-0.350666666666667
UPP1	-1.91091666666667
SLC6A9	0.523
OR7G3	0.07525
CISD1	-0.5335
ZNF545	-2.192
SYT14	-1.0765
NT5C3L	-1.446
ZNHIT3	-1.03133333333333
SNRPD3	1.00975
KIAA0701	-0.015
UNC93B1	0.6735
GMNN	-2.303
SPCS2	-0.346833333333333
LOC388524	-0.889
NAPRT1	-0.413375
PNLIPRP1	0.58425
OR6V1	1.3955
PRKAB1	-1.19375
EYA4	-3.47933333333333
KIF20A	-2.242
ALG10	-1.42725
ITPKC	1.84883333333333
LMX1B	2.15233333333333
RPUSD4	-1.7035
C7orf34	-0.226333333333333
DLGAP2	0.203875
PFN1	-0.2819
MICALL2	0.0393333333333333
ZNF654	0.7135
SS18L1	-1.214
SLC16A8	0.61425
MKI67IP	-0.872333333333333
ITGB3	-0.25225
TCEA3	2.77175
CEP152	-1.6170625
CLIP1	1.08475
ZNF75	0.0865625000000001
ATP5C1	-1.5165
NUDT5	-0.421666666666667
PSCDBP	-0.43325
UBP1	-0.311
RBM27	0.2725
C13orf15	2.139875
ZNF282	-0.601666666666667
ZNF222	0.8574
COL10A1	6.92075
PRDM15	-0.77175
TTTY5	0.285
FAM9C	-0.417454545454546
C20orf67	-0.25525
GNG13	2.363
F12	-0.011
C1orf41	-2.0845
CPXCR1	0.1525
GSK3A	0.242875
SUPT6H	1.28883333333333
PI16	3.66216666666667
ELL2	-1.36791666666667
C9orf167	-1.6565
PVRL3	-2.4605
FLJ38596	0.48425
ADAM20	0.2335
GPR89A	1.0775
GPR87	-3.5725
ZNF30	-0.0935
SMR3B	0.18125
ZNF770	-0.5085
TRPC4AP	-1.57883333333333
DKFZP686E2158	-0.117333333333333
C2orf28	-0.936
FREM1	-2.11616666666667
LAMA4	1.09016666666667
ADPRHL2	-0.7485
EIF4G2	-0.4255
GUCA1A	0.032
CTNNA2	-1.371
NUDT15	-0.2475
CEPT1	-1.541
ZNFX1	-0.3077
CCDC92	0.288
TDRD1	1.4955
KCNK5	-0.816
ETNK1	-0.576333333333333
LTA	0.606
TTPA	0.8065
B3GALNT2	0.718125
SC65	-0.6995
PEX5L	-0.809125
EPS15L1	0.25175
MGEA5	0.186875
HIST1H3A	1.6945
ING1	0.15375
BCAT1	-2.704875
ORC6L	-3.14172727272727
KLK11	-4.9355
C19orf28	-0.905625
DNER	-3.953375
MED22	-0.360571428571429
ETV6	1.76983333333333
CHAC2	-3.407
CD300E	0.304
CEBPB	1.60241666666667
ZNF398	-0.58325
LRCH3	0.013
HMGA1	-0.813
CAPN7	-0.7065
MGC5566	-2.99275
CCL3	4.043375
NANOS1	0.801
ZFYVE19	-0.0905
APITD1	-0.88
PARD3	0.389375
IRAK4	-0.595833333333333
SERPINI2	-0.821
CEP170L	0.3
TTC9	1.617375
MYOM3	-0.8035
MLPH	1.62275
LOC222699	0.09
NRG1	-1.39308333333333
TBC1D9	-0.278181818181818
TTK	-2.30466666666667
ZNF557	-0.0508
DDX41	-0.3305
FANK1	4.749
UBE2D2	-0.990375
PSMB10	1.27225
MYH7B	-0.3565
GABARAPL2	-0.559
MARVELD2	2.71883333333333
DGCR2	1.3685
UNC45A	-0.842833333333333
C6orf72	0.489
ZNF683	3.6785
GIT2	-0.3765
CASK	0.979833333333333
C14orf161	2.50916666666667
LRRC44	0.5175
TIFA	-0.469125
UTP11L	-1.05825
C6orf65	-1.88375
FDPS	-1.66925
DUSP9	0.2971
SLC17A8	0.0254
OR51G1	0.459
NANS	-0.0255
OLFML1	2.00975
ATP10B	-0.895428571428571
NPAS3	-1.0935
PRKCA	-2.4582
GGA2	0.1055625
LCE4A	0.642
SPANXN3	0.254
CCDC115	0.8405
SDCCAG3	-1.144
GLIPR1L1	-0.5025
TTC1	-0.51125
C17orf76	-0.243
MAD2L2	-2.17275
HIPK1	0.7381
LRRC3B	-0.6565
CLN3	0.147272727272727
C17orf47	0.269
FMN2	-2.972375
TUBB1	-1.567625
WAPAL	-0.419333333333333
C3orf21	-0.316375
SCN5A	-0.3815
SMYD1	0.19625
BEX5	-1.35275
ZNF192	-0.5935
SEC22A	-1.0445
GRIA2	-0.0960714285714286
KIAA0825	-1.4135
NUSAP1	-3.11618181818182
LANCL1	-1.400125
C15orf40	-1.5735
ZNF645	0.622875
GPR61	0.47225
NLRP14	0.4145
SNX21	0.3895
C1QTNF8	0.5885
C17orf46	0.606
IFNA8	-0.491
SPRR1B	-1.3266
FLRT1	-0.1275
SNX17	-1.958
ASB2	-0.773333333333333
HBG1	-5.477
RPRML	-2.1535
JOSD2	0.606833333333333
PLSCR3	0.6535
SPOCD1	-0.318333333333333
RAB39	-0.7875
GHRH	0.859333333333333
ITIH5L	0.259
C17orf37	3.221
SMCR8	0.71925
DPY19L2P3	-1.42266666666667
IL11RA	-0.159333333333333
GDF3	-3.36766666666667
RPS6KB1	-0.277916666666667
DNAJC19	-0.2817
TOP1	-0.8045
CRCT1	0.434
MPST	1.497375
DPM2	0.230625
FAM38B	-1.5615
SLC18A1	-2.38116666666667
FARP1	1.68266666666667
PAX7	1.10825
TUBD1	-0.58325
GNL3	0.657125
BTG2	2.23946666666667
NDUFS6	-0.439
C1orf79	-1.41475
ERAL1	1.43425
ECHS1	0.4685
VPS4A	-0.212166666666667
CYP11A1	-0.58175
ABCC6	0.160285714285714
PBX4	-2.818
MOSC1	0.604
NCF4	-0.36775
HYMAI	0.428
NAGPA	-0.592625
OTOP2	0.29875
ACOT12	-0.0965
MTHFD2L	-0.522
LOC441376	3.46675
C19orf34	0.3815
RAB1B	-0.50975
ALDOAP2	-1.261
NTRK1	-1.661
ARTS-1	-0.2139
SLC6A11	-0.8305
NAP1L2	-2.7215
CNGB1	0.485333333333333
EPB41L4B	-0.402333333333333
FAM134B	1.70825
HS3ST3A1	-1.7875
CPXM2	5.0275
SIRPB2	0.1065
CHORDC1	-1.21333333333333
TRIB3	-0.768666666666667
SLC2A5	0.6825
C2orf49	0.908833333333333
DDX5	-1.4745
OR5L1	1.9565
ANAPC4	-0.535
ZSWIM1	0.797
LOC93622	-0.5745
KCNK3	-0.1452
RP11-35N6.1	-2.573625
ZFP161	-0.293
AQP9	2.153
SLC15A2	-1.24133333333333
MREG	-0.164666666666667
OR9I1	0.796
PDLIM2	-0.429375
ADAM7	-0.0385
GSTCD	0.515
WDR21A	-0.388
SLC12A8	0.455833333333333
TMEM174	-0.1675
IGSF3	0.652333333333333
LRRN1	2.73525
LOC402117	-0.30725
SRPK1	-1.26266666666667
LY6K	1.2646875
NFIA	3.1215
PTCD3	-1.071
LEP	1.255
PCDH21	-0.802333333333333
MAPKAPK2	1.68057142857143
NMNAT1	-0.263166666666667
LHFPL2	0.560375
C9orf43	0.959
DIP2A	-0.462833333333333
ACTR8	0.125125
CCDC34	-1.996
PTPN22	-1.530875
ITGA3	-0.19625
FAM129C	-0.59425
RABGGTA	0.0761666666666667
UNC45B	0.26225
KIAA1033	-0.129
ZNF510	-1.13066666666667
CYP2D6	-0.277166666666667
SLC26A10	-2.502
STX8	0.15975
LUZP1	-0.238375
WDR89	0.918166666666667
EIF4G3	0.8122
C5AR1	1.614875
ZNF623	0.4525
A2M	1.05775
TGM7	0.189
GRPEL1	0.0953333333333333
LMNB2	-0.883
ROCK2	0.3605
SNX16	0.844125
CCDC66	0.82575
ANXA3	0.02425
KIAA1609	1.625875
EED	-2.08775
RNF32	0.053
HES1	1.5007
CLC	0.0761666666666667
ISL1	-1.0902
KIAA0528	0.537
MANEA	-0.4425
C1orf61	-1.877
hCG_2001000	2.52525
RAPGEF6	-0.2886
KIAA0020	-0.0513333333333334
NEIL1	1.04075
C16orf45	0.766125
RBM10	-0.0428333333333333
C10orf125	-1.36775
MRS2L	-0.3545
DNAH17	-0.937
C19orf10	-1.38275
C1orf160	1.0205
SLFN12	-0.59575
EXOC3	-0.285
HIST3H3	0.697
NCOR2	0.122833333333333
TNFRSF9	-0.52675
MFSD8	-1.079
ALX1	-4.12633333333333
NOL1	-0.45
PODN	3.11525
TIAL1	-1.661
HIST1H1E	1.0455
NPY6R	-0.037
TM4SF4	1.04225
CORO2A	0.68875
ETNK2	1.03566666666667
APOE	1.9009
ANGPT4	0.6355
HDGF2	-0.621
G30	0.4585
ST8SIA4	-0.407
F2RL1	-1.714
FAM19A4	-3.16675
CCAR1	0.162
B3GNT7	0.4805
OPHN1	-0.2132
DSCR6	2.851
C21orf13	2.62616666666667
GAS2L1	0.53175
RFX3	-0.596666666666667
COPS4	-1.8085
BCHE	-3.69166666666667
BCL2	0.447125
HBZ	-2.55583333333333
ARL13B	0.45525
MAPBPIP	1.09875
MYO15B	-0.265375
SPZ1	1.4535
KIAA1324	3.61544444444444
PLCL2	-1.1495
C4orf29	-2.05025
WDFY2	0.09875
ZNF284	-1.101
NAALADL1	-0.2115
DUSP5	1.205
PXDN	0.362875
SLMO1	-0.49675
TNXB	1.3042
BIRC7	-0.83575
A4GALT	2.27516666666667
TIMM22	0.34625
FAM110C	2.0665
TOMM34	-0.735875
ABHD9	0.678
ADAM32	0.2565
CRHBP	-0.14925
AQP2	1.068125
LOC130355	0.82525
ZNF187	-1.01533333333333
ZNF816A	-0.026
F7	1.820375
CNOT1	-0.5397
SLC13A4	-1.12525
ZBTB11	-0.92175
B3GALT5	1.4185
EXOC2	0.968333333333333
IRS1	1.1769
TMEM1	0.389333333333333
MRPL34	-0.627833333333333
SAMM50	-1.564
CDC42EP3	0.657375
HSF2	-1.9211
MFN2	-0.277
TSPAN7	-1.7855
NUCB1	0.5465
RHOH	-2.4315
ARL16	-1.2265
TACR1	0.27075
SFRS5	-0.7165
SNX25	0.207125
RHBDF1	1.1035
PCDH18	1.29416666666667
HMG1L1	1.17225
MYO5C	0.7275
MAPK10	3.7075
LDHAL6A	-0.525333333333333
NUDT12	0.294333333333333
NCAM1	-0.22525
GLIS2	2.0575
GGTL4	1.54925
DAPP1	-1.13225
ATF7	1.1045
KIAA0748	-1.2105
NFIL3	-0.70275
TM6SF1	0.6256
SEZ6	0.291625
NANOS3	0.552666666666667
DNAJA3	-0.870333333333333
CLDN6	-1.964
CIITA	2.5092
EPHA4	-0.307333333333333
FANCC	0.493
CMTM3	-0.0445
PSG3	-0.228
MRPL15	-0.3435
C21orf59	2.35225
PLCXD2	0.5195
C2orf34	0.4325
UBE2L6	0.2215
MED14	0.253166666666667
HP1BP3	-0.931
C6orf208	-0.056
TPBG	0.77275
OSR2	1.51575
XPC	-0.2105
KLHL7	-1.79933333333333
CCR3	-0.377333333333333
AGTPBP1	-1.51866666666667
PCSK6	-1.66373333333333
STAT5A	-1.7286
