Hybridization REF	TCGA-C8-A12T-01A-11R-A115-07
FAM26E	3.129875
TRIP4	0.684
SNX3	0.567666666666667
C1orf175	0.106833333333333
PPY2	-0.35275
C14orf152	0.83025
FTSJ1	0.298
DST	-0.2083
LOC554235	0.2055
GLRX5	-0.02675
C20orf12	1.0848
CAB39	0.108166666666667
MSH2	-0.898166666666667
PIP4K2C	-0.05475
CYLD	1.44325
WTAP	0.429875
MGAT4A	1.01044444444444
TSC22D4	-0.4417
CHRM2	-1.8875
PPYR1	-0.0801666666666667
CCNH	-0.840166666666667
RRM1	-0.09775
ECAT8	-2.911
LOC400120	-0.38875
GABRA4	0.28075
C14orf4	0.979
C1orf59	0.4915
CTDSPL	0.505416666666667
NHEDC2	-0.9715
PDE11A	-0.2978
KLHL29	-1.71325
CD5	-0.7993
TSPAN9	1.7921875
WDR67	-1.0005
THUMPD1	0.4242
C18orf17	1.39875
CLYBL	0.109833333333333
FLJ13231	-0.951
CMBL	1.10475
LECT2	-0.653
NKAPL	2.72666666666667
LOC654780	0.423
OR4C6	2.342
RAB30	0.035
TSSK4	-0.732
TMEM163	0.351
OSBPL11	0.415916666666667
GNB5	-1.02533333333333
CCL21	1.331
C1orf121	-0.053
FMO2	0.3355
RPTN	-0.00399999999999995
MSTN	-0.9275
VCL	0.432785714285714
FYTTD1	0.80925
C11orf1	-0.377
CCDC88C	0.6368125
HFE	-0.315666666666667
MOGAT1	-1.751
FAM125B	0.0466666666666667
IRGQ	0.1285
RAVER2	0.048
AKAP5	0.532
SSSCA1	0.18225
C11orf63	1.2325
ACTG2	2.3091
PORCN	-1.567
DTL	-0.874090909090909
TMEM151	0.28625
FAM122C	-2.088
RSAD2	4.5435
BAT4	-1.4245
KRTDAP	-2.25033333333333
MYH8	0.6775
CRTC3	0.23475
LRRFIP2	0.5208
INTS4	0.115333333333333
TTN	-2.00683333333333
SLC26A5	0.4965
PLLP	-0.64375
RGS6	-1.175375
SRGAP3	-0.248125
ZNF525	1.19233333333333
NBR2	-0.789333333333333
C13orf1	0.0702
ZNF137	1.6005
CEP27	-1.09275
BEST2	0.521
RNF121	0.1965
DMRTC2	0.2635
C8orf76	0.67175
BCCIP	0.672
MEST	-1.438
HTRA2	-0.328
ANGPTL2	1.22
ILKAP	0.00966666666666667
ERAS	-0.399
HBS1L	0.145625
CPA5	-0.002
TMEM30A	0.563
CD300LF	2.75766666666667
WISP3	3.323
CRK	0.287428571428571
PDS5A	0.0903
BRPF3	0.6485
NEDD9	-0.490875
SMPDL3B	0.01025
PSG6	-0.11775
PSMD13	1.15625
ETV5	-1.5754375
OR51A4	0.1065
BTBD7	0.536583333333333
GSTO1	-0.474125
hCG_16001	1.549
MAD2L1BP	-0.639166666666667
COX6A2	-1.837
SCNN1A	0.593
LSM1	0.702
UGT2B11	-2.6295
IDUA	-0.579
PPP2R3C	-0.330833333333333
COX11	-1.10133333333333
PDZK1	-1.293
ZNF443	1.257
MGC21874	1.74316666666667
ZNF323	2.1274
KRTAP10-10	-0.0975
CXCL6	2.001
SLC34A2	-0.00310000000000001
LOC284402	0.3995
NPTN	0.60075
UPP1	-1.94575
SLC6A9	-0.459
OR7G3	0.35475
CISD1	-0.0918333333333333
ZNF545	0.051
SYT14	0.279
NT5C3L	-0.943166666666667
ZNHIT3	-0.693666666666667
SNRPD3	0.1875
KIAA0701	0.127625
UNC93B1	-0.2455
GMNN	-1.4435
SPCS2	0.909
LOC388524	0.1955
NAPRT1	-2.074875
PNLIPRP1	-0.258666666666667
OR6V1	0.437
PRKAB1	-0.6005
EYA4	-3.2935
KIF20A	-0.13425
ALG10	0.00524999999999999
ITPKC	0.512666666666667
LMX1B	1.1005
RPUSD4	0.442333333333333
C7orf34	0.541833333333333
DLGAP2	0.42725
PFN1	0.4369
MICALL2	-1.05683333333333
ZNF654	0.426
SS18L1	0.318875
SLC16A8	0.038
MKI67IP	0.189666666666667
ITGB3	-0.4385
TCEA3	2.44566666666667
CEP152	-2.0584375
CLIP1	1.019125
ZNF75	0.7928125
ATP5C1	0.2845
NUDT5	-0.757333333333333
PSCDBP	-0.1415
UBP1	0.0095
RBM27	0.41225
C13orf15	1.948875
ZNF282	-0.274833333333333
ZNF222	0.3526
COL10A1	4.72925
PRDM15	-0.838125
TTTY5	-0.2065
FAM9C	-0.662833333333333
C20orf67	0.316
GNG13	-0.3495
F12	-2.546
C1orf41	-0.39425
CPXCR1	-0.3205
GSK3A	0.27325
SUPT6H	1.8945
PI16	-2.19
ELL2	-1.62316666666667
C9orf167	-1.24983333333333
PVRL3	-0.883
FLJ38596	0.0165
ADAM20	-0.35975
GPR89A	0.2085
GPR87	-0.1415
ZNF30	0.72425
SMR3B	0.1225
ZNF770	-0.477
TRPC4AP	0.121666666666667
DKFZP686E2158	0.361
C2orf28	-0.516833333333333
FREM1	-3.08366666666667
LAMA4	0.8105
ADPRHL2	0.52925
EIF4G2	1.01016666666667
GUCA1A	0.957
CTNNA2	-0.84575
NUDT15	-0.297333333333333
CEPT1	0.190666666666667
ZNFX1	0.5984
CCDC92	1.1835
TDRD1	-1.146
KCNK5	-2.47966666666667
ETNK1	-0.513416666666667
LTA	0.6005
TTPA	1.143
B3GALNT2	-0.18775
SC65	0.0488333333333333
PEX5L	-0.835
EPS15L1	0.85
MGEA5	-0.447625
HIST1H3A	0.71725
ING1	0.236125
BCAT1	-1.404
ORC6L	-1.386
KLK11	-2.3745
C19orf28	-1.44875
DNER	-4.517875
MED22	-0.904857142857143
ETV6	0.784583333333333
CHAC2	-0.84575
CD300E	0.562
CEBPB	-0.497416666666667
ZNF398	-0.0845
LRCH3	-0.026
HMGA1	-1.626
CAPN7	0.184666666666667
MGC5566	-2.72175
CCL3	2.5795
NANOS1	1.053875
ZFYVE19	-0.58525
APITD1	0.3255
PARD3	-0.093875
IRAK4	0.330166666666667
SERPINI2	0.4985
CEP170L	-0.95525
TTC9	2.781
MYOM3	-0.7455
MLPH	1.223125
LOC222699	-0.5695
NRG1	-0.166166666666667
TBC1D9	2.85054545454545
TTK	-0.276666666666667
ZNF557	0.5747
DDX41	0.0883333333333333
FANK1	2.4455
UBE2D2	0.283875
PSMB10	0.2245
MYH7B	-0.4055
GABARAPL2	0.06275
MARVELD2	1.877
DGCR2	0.637333333333333
UNC45A	0.1725
C6orf72	0.9055
ZNF683	4.093
GIT2	0.0775
CASK	-0.310666666666667
C14orf161	3.2015
LRRC44	0.3245
TIFA	-0.00612500000000005
UTP11L	-0.04625
C6orf65	0.67425
FDPS	-0.77325
DUSP9	-2.0957
SLC17A8	0.8922
OR51G1	0.125
NANS	-0.804
OLFML1	2.038
ATP10B	-1.343375
NPAS3	0.748
PRKCA	-2.0755
GGA2	-1.1045625
LCE4A	0.4205
SPANXN3	0.54475
CCDC115	1.45
SDCCAG3	-0.9985
GLIPR1L1	0.1475
TTC1	0.3975
C17orf76	1.0465
MAD2L2	-0.7545
HIPK1	-0.3565
LRRC3B	-1.1645
CLN3	-0.0738181818181819
C17orf47	-0.1655
FMN2	-0.813875
TUBB1	-0.60225
WAPAL	0.9525
C3orf21	-0.103
SCN5A	-0.3373
SMYD1	0.79375
BEX5	1.1925
ZNF192	0.242
SEC22A	0.0783333333333333
GRIA2	0.484285714285714
KIAA0825	-1.28425
NUSAP1	-1.65554545454545
LANCL1	-0.764375
C15orf40	-0.1722
ZNF645	0.312875
GPR61	0.22925
NLRP14	-0.0565
SNX21	-0.3348
C1QTNF8	-0.287
C17orf46	0.2105
IFNA8	-0.036
SPRR1B	-2.14966666666667
FLRT1	-1.1085
SNX17	0.499333333333333
ASB2	-1.46183333333333
HBG1	-4.6825
RPRML	-2.3415
JOSD2	1.09966666666667
PLSCR3	-0.0675
SPOCD1	0.609333333333333
RAB39	-0.483
GHRH	1.1315
ITIH5L	0.69875
C17orf37	1.74825
SMCR8	0.35975
DPY19L2P3	-0.939833333333333
IL11RA	-0.179666666666667
GDF3	-4.0215
RPS6KB1	-0.840166666666667
DNAJC19	-0.1543
TOP1	-0.32475
CRCT1	1.51075
MPST	-0.290125
DPM2	-0.241125
FAM38B	-2.333
SLC18A1	-2.795
FARP1	1.1035
PAX7	0.22425
TUBD1	-1.18425
GNL3	-0.021625
BTG2	0.651266666666667
NDUFS6	-0.605
C1orf79	-1.2215
ERAL1	1.003
ECHS1	0.87625
VPS4A	-0.319
CYP11A1	-0.90225
ABCC6	-2.87807142857143
PBX4	-2.457
MOSC1	-0.8435
NCF4	1.3155
HYMAI	-1.299
NAGPA	-0.41625
OTOP2	0.3865
ACOT12	0.4365
MTHFD2L	-0.792875
LOC441376	2.1525
C19orf34	0.239
RAB1B	1.24625
ALDOAP2	1.1135
NTRK1	-0.5365
ARTS-1	-0.2248
SLC6A11	0.24
NAP1L2	-1.53475
CNGB1	0.575833333333333
EPB41L4B	-0.384666666666667
FAM134B	0.93375
HS3ST3A1	-0.33
CPXM2	4.27225
SIRPB2	-0.5225
CHORDC1	-0.51
TRIB3	-0.291333333333333
SLC2A5	0.937
C2orf49	-0.1645
DDX5	-0.63875
OR5L1	-0.00900000000000001
ANAPC4	-0.807333333333333
ZSWIM1	0.507625
LOC93622	0.54025
KCNK3	-0.2946
RP11-35N6.1	-2.52
ZFP161	0.719333333333333
AQP9	4.14875
SLC15A2	1.51083333333333
MREG	0.463333333333333
OR9I1	0.564
PDLIM2	0.6065
ADAM7	0.0855
GSTCD	0.9965
WDR21A	-0.60375
SLC12A8	1.95433333333333
TMEM174	0.4185
IGSF3	0.75125
LRRN1	-0.4655
LOC402117	0.3375
SRPK1	-0.939833333333333
LY6K	-2.49975
NFIA	1.7345
PTCD3	-0.6635
LEP	0.881666666666667
PCDH21	-1.196
MAPKAPK2	0.396571428571429
NMNAT1	0.160666666666667
LHFPL2	1.053625
C9orf43	1.36325
DIP2A	0.296
ACTR8	-0.12675
CCDC34	0.91425
PTPN22	-0.799375
ITGA3	0.449375
FAM129C	-0.137
RABGGTA	0.334833333333333
UNC45B	0.484
KIAA1033	0.79725
ZNF510	0.630833333333333
CYP2D6	-0.836666666666667
SLC26A10	-1.957
STX8	0.629
LUZP1	0.711
WDR89	0.451666666666667
EIF4G3	-0.0967
C5AR1	1.47625
ZNF623	0.815
A2M	0.218
TGM7	0.6575
GRPEL1	0.116333333333333
LMNB2	-1.083
ROCK2	-0.033
SNX16	0.749875
CCDC66	0.09325
ANXA3	-0.1085
KIAA1609	-0.01425
EED	-0.73725
RNF32	0.790333333333333
HES1	1.1517
CLC	0.623666666666667
ISL1	0.615
KIAA0528	-0.285375
MANEA	0.385625
C1orf61	-2.5525
hCG_2001000	1.97275
RAPGEF6	-0.469
KIAA0020	-1.00233333333333
NEIL1	-0.7515
C16orf45	-0.6475
RBM10	-0.479
C10orf125	-1.25725
MRS2L	-0.05125
DNAH17	-1.0495
C19orf10	-1.0575
C1orf160	-0.05275
SLFN12	0.1765
EXOC3	0.000333333333333315
HIST3H3	0.381
NCOR2	0.312166666666667
TNFRSF9	1.09425
MFSD8	0.3135
ALX1	-3.67483333333333
NOL1	-0.70225
PODN	2.889
TIAL1	-0.21775
HIST1H1E	-1.68075
NPY6R	0.28025
TM4SF4	1.291
CORO2A	-2.0065
ETNK2	2.38333333333333
APOE	0.5316
ANGPT4	-0.6515
HDGF2	-0.00675
G30	3.458
ST8SIA4	-0.253
F2RL1	0.389125
FAM19A4	-4.75675
CCAR1	0.4655
B3GNT7	-0.09075
OPHN1	-0.3643
DSCR6	0.107
C21orf13	0.7515
GAS2L1	0.60475
RFX3	-0.325
COPS4	0.53825
BCHE	-4.66416666666667
BCL2	1.308
HBZ	-3.04033333333333
ARL13B	0.827125
MAPBPIP	0.3145
MYO15B	-1.44075
SPZ1	0.351
KIAA1324	2.376
PLCL2	-0.521875
C4orf29	-0.725
WDFY2	-0.81125
ZNF284	-0.7265
NAALADL1	1.0685
DUSP5	2.11916666666667
PXDN	1.509625
SLMO1	-0.7865
TNXB	-0.2887
BIRC7	-1.15975
A4GALT	0.839166666666667
TIMM22	0.083
FAM110C	1.3565
TOMM34	-1.306625
ABHD9	0.4705
ADAM32	2.3205
CRHBP	0.1165
AQP2	0.518875
LOC130355	1.14925
ZNF187	0.2775
ZNF816A	1.6665
F7	0.411625
CNOT1	0.0314
SLC13A4	-0.8805
ZBTB11	-0.011
B3GALT5	-0.4545
EXOC2	0.867833333333333
IRS1	0.3497
TMEM1	-0.0131666666666667
MRPL34	-0.826166666666667
SAMM50	-0.1875
CDC42EP3	-0.34425
HSF2	-0.3104
MFN2	0.28725
TSPAN7	-2.02866666666667
NUCB1	0.48425
RHOH	0.707
ARL16	-0.1465
TACR1	0.05075
SFRS5	-0.986
SNX25	0.422875
RHBDF1	0.319833333333333
PCDH18	2.13916666666667
HMG1L1	0.7195
MYO5C	1.6235
MAPK10	-0.355
LDHAL6A	-0.133333333333333
NUDT12	1.13466666666667
NCAM1	0.00887500000000001
GLIS2	0.237
GGTL4	0.55175
DAPP1	0.121
ATF7	0.6575
KIAA0748	-1.1725
NFIL3	-0.872
TM6SF1	0.9011
SEZ6	0.3285
NANOS3	0.290166666666667
DNAJA3	-0.493666666666667
CLDN6	-2.475
CIITA	2.3892
EPHA4	-1.28483333333333
FANCC	-0.3875
CMTM3	1.3035
PSG3	-0.068875
MRPL15	-0.0605
C21orf59	0.0545
PLCXD2	0.104
C2orf34	0.660875
UBE2L6	0.695625
MED14	-0.123333333333333
HP1BP3	-0.571
C6orf208	-0.0525
TPBG	1.6885
OSR2	1.62525
XPC	0.145833333333333
KLHL7	-0.769333333333333
CCR3	-0.617
AGTPBP1	-0.6365
PCSK6	1.19926666666667
STAT5A	-1.2867
FAM18B	0.67375
LONRF2	0.644333333333333
PTPN2	-0.75075
SF3A3	-0.320833333333333
EFCBP2	-0.2965
HCFC1	0.0506666666666667
AHNAK	0.21255
ACTR5	0.72575
KIF14	-2.23928571428571
TENC1	0.45525
HEATR5B	0.812
YIPF2	0.4385
MYEOV2	0.0448333333333333
DUSP18	0.94925
KIAA1012	0.3765
AHR	0.226166666666667
C17orf53	-0.741666666666667
PTPRH	-2.77875
ATP6V1C1	1.1414
TAS2R3	-0.18
LOC440356	-0.8005
COQ10B	1.0405
PSMF1	0.879916666666666
SORBS2	1.058
NFE2L2	-0.26625
TMCO7	0.02325
SH3PXD2A	0.2594
SH2D2A	-1.4855
SPINK5	-4.06625
MRPS24	-1.52575
OPA3	-0.705
TRAF7	0.872333333333333
C4orf35	-0.0883333333333333
MT1G	-1.19575
MGC39545	0.17375
HS1BP3	0.267
OR2B2	0.61
CHRM4	0.1835
SFRP2	4.06816666666667
RIC3	-0.68175
ART1	0.637
C6orf1	0.26125
DUS4L	-1.10675
C10orf104	0.922
TNFAIP6	2.8885
RTEL1	0.379
CCT4	-0.1404
ZNF709	0.579
CHMP6	-0.201833333333333
UPP2	0.7595
CYP19A1	-3.267875
CD151	-0.1515
NDUFA13	-1.11266666666667
ARFRP1	0.385
FAM26B	1.62975
CRYBA1	-1.394
MRPL41	-1.25033333333333
NPFFR2	-0.817125
HRH2	0.336
SCAMP3	-0.274833333333333
MTMR6	0.4558
MTG1	-0.0935
UBTD1	1.407
CRABP1	-3.25
FLJ33790	1.9359
KIAA1908	-0.91
GPR158	-1.4735
PACSIN3	-0.665
OMD	4.13466666666667
CATSPER1	0.223666666666667
HOXB8	-2.37525
FBXO46	0.25
OAS1	1.26733333333333
SVIL	0.30525
PHB2	-0.59725
ADCY3	-0.6005
NDRG2	-0.327166666666667
ERMAP	1.4738
APBA2	0.375833333333333
IGSF9	0.34275
WNT6	-1.3325
MYCBPAP	-0.3285
ATP2B2	-0.2264
CPVL	-1.0132
TRAM2	-0.30875
NOP5/NOP58	-0.48275
ZNRF4	-0.20425
TLK1	-0.297125
MTMR12	0.271785714285714
ZNF384	-0.256166666666667
FAM9B	-3.15925
RPN1	0.4456
PMVK	0.7965
EIF3D	0.2605
SIX2	-0.27175
HPS1	0.441714285714286
RNF7	0.47625
PSKH2	0.068
KCTD13	0.3345
CSMD3	-0.00799999999999997
FBF1	-0.3805
IL8	-2.14925
SERPINB13	-0.340666666666667
FBXL20	0.1225
BLR1	0.36225
SH2B1	-0.0525
RFNG	-0.069
RAB20	0.398833333333333
RBM7	-0.6215
POLR1A	0.2305
TMPRSS4	-2.28625
TAF9	-0.380625
TERF2	0.709833333333333
TNFRSF1A	0.69625
ACADVL	-1.37983333333333
GTF2H5	0.07125
EDG8	-0.192666666666667
C9orf140	-0.604625
UST6	-0.2415
ZBTB8OS	-0.43225
ZNF710	0.788
GPR174	-2.204
ATP6V0A2	-0.1035
KIAA0319L	-0.14275
XKRX	0.443
DOPEY2	1.4717
SDHD	-1.11858333333333
SUMF1	1.21825
OSM	2.851
OPN3	-0.75225
DAGLB	-0.309333333333333
PPFIBP1	0.79
TRIM63	-3.88075
C10orf53	1.1505
LYPD3	0.974666666666667
BCL7A	0.486125
AGER	-1.52433333333333
TCF19	-0.291375
SAT2	-0.70175
PFTK1	1.18216666666667
GABRE	-3.0675
C15orf38	0.1331
FIS1	-0.3275
KCNV2	-0.0685
CLPS	0.35575
PPCDC	-0.654
FOXN2	-0.730333333333333
NT5E	-1.5614
CD83	0.113
IL18	0.397625
VPS16	0.37825
IGFBP2	-2.32016666666667
NOTCH2	0.43575
SIGLEC1	2.9105
CD93	5.1555
SULF2	0.59625
CEP164	-0.724125
P53AIP1	0.766833333333333
TOR2A	-0.264
ZNF136	0.625
MGP	1.451
CCDC144A	-0.0796666666666666
TRPC1	-0.452166666666667
SMS	-0.142333333333333
MAPK7	-0.528833333333333
RRAGC	1.09
PARD6A	-0.0575
NUB1	0.259166666666667
SYNGR4	-0.35425
OR11H12	-0.0765
WIF1	0.443142857142857
GCH1	0.07125
OR11H4	0.174
SLC44A5	0.101
GPRIN2	-0.825833333333333
LOC401431	0.46925
CPA4	-2.123
MELK	-1.46388888888889
IL15RA	0.24275
CUL3	0.278875
HMBOX1	1.17825
PODXL	-1.98425
CCT6B	0.448
COMTD1	-0.84375
MUC20	-2.01383333333333
GPX2	-3.3165
ITK	-0.9145
FBXL5	1.99625
C13orf27	-0.78975
DEFA5	0.8635
TRHDE	0.654
MTP18	-0.773833333333333
UQCRQ	-0.9037
ITGB2	1.97575
CSRP2BP	0.00525
TAS2R44	-0.118
PHPT1	0.1835
FAM44C	0.07925
ERH	-0.62825
MPHOSPH1	0.613166666666667
MORC1	-0.994
PARVB	0.036
LAMA1	-1.44766666666667
PGBD3	0.76975
GIMAP6	3.70475
AREG	-0.575166666666667
LIPT1	0.0505
MGC99813	-1.4535
C1orf201	0.11
GRIN2A	-0.5857
MAN2C1	-1.316875
NSUN5	-0.8225
SF3B5	0.04775
MYC	-1.28825
NRXN1	-1.159
ZNF18	0.2055
SPDYA	-0.4265
SLC37A1	0.5575
DECR2	-0.49325
ANKRD38	0.99275
SPTLC3	-0.815333333333333
SUPT16H	-0.031625
DTWD2	1.40275
ULBP1	-0.6085
ZADH1	0.568833333333333
OIP5	-1.69625
IL10RB	0.542666666666667
OTUB2	1.83425
VWA3A	0.0101666666666666
SPIC	0.321
OR6C4	0.261
PSCD4	0.959
DPY19L2P2	-0.596
TRAPPC6A	0.595166666666667
C21orf2	-0.554
CEMP1	-1.3395
LIN7B	-0.036
E2F7	-2.04366666666667
VCP	0.184
LAMA3	1.46258333333333
BGN	1.9705
GPR160	1.76133333333333
COCH	-4.78883333333333
GPR81	2.29683333333333
APOBEC3F	-1.28625
tcag7.1017	-1.135
C1orf32	0.369
SCGB1D2	2.47575
FLJ43987	-0.235
C6orf170	1.56575
KLK9	0.1755
GPD1L	1.177
VPS37B	0.3495
ATG3	0.324
ADAMTS17	0.459
KLHDC2	-0.407833333333333
NDUFV2	-0.37325
BLK	-3.324
MATN4	-2.47
GPM6A	2.076125
GBP4	3.47683333333333
TMEM162	0.3884
PKP2	1.213
HRASLS	1.08022222222222
MMP1	0.5835
SFXN3	0.0526
FSD1	-1.96066666666667
ST6GALNAC3	-2.715
CA12	2.6685
NCOA6	0.6305
C19orf58	-0.1047
PPP4R1	1.0365
MAN1A2	0.805
IKBKAP	-0.979
UPF1	-0.0301666666666667
KIAA1219	1.08625
WNT16	0.335666666666667
SNW1	0.052
IL18RAP	2.1805
RPP30	0.553125
CDC40	0.729071428571429
SETD3	0.771666666666667
SLAMF6	0.49875
ELK4	-0.209
TRIM47	-0.0205
ACOX3	2.7015
TRIM6	0.995
KIAA0372	0.233833333333333
TP53AP1	0.76225
SMURF2	-0.07175
ADAD1	0.46325
EBP	-0.8608
KRTAP13-2	-0.089
FLJ36874	-1.0245
TOR1A	-0.445166666666667
P2RY4	-0.4645
GPBP1	0.07975
TRPV1	0.263625
ADAMTS12	1.18333333333333
PES1	0.2951
ATG4A	0.384833333333333
MAGEA10	-4.65975
WFS1	1.00375
CC2D1B	-0.273333333333333
PABPN1	-0.57825
SLC25A30	0.67975
SLCO1C1	-0.653333333333333
SLC22A5	1.9445
KIF23	-0.223166666666667
SYN2	-0.828166666666667
ASPN	8.77366666666667
CENTG2	0.44675
QSOX2	-2.059
FLJ10815	0.1435
STK24	0.42775
SPEG	-0.9426
STK10	0.2315
DACT2	-2.115
AAAS	-0.6515
SSX3	-1.5655
ABCD3	1.1868
C4orf12	0.492625
PARVG	0.865166666666667
FIG4	2.5235
C9orf46	1.393
TMCO6	-1.1365
IGHMBP2	-0.05375
DUS2L	0.161333333333333
FAM3C	-0.13675
TMEM16D	-2.155
DCTN4	0.96925
KCNH3	-0.185
EIF2AK2	1.67575
AP1S3	-0.016625
CST4	3.307
PAM	0.8485625
NUTF2	0.28175
CITED2	-0.8507
SLC39A4	-0.38775
C2orf52	-0.9235
GRM3	-0.41675
C12orf49	0.795625
CCDC49	-0.4467
GRAMD1B	-1.192375
FNDC4	1.09075
SIAH2	0.333
GDPD4	0.68675
C21orf87	-0.057
ATP5A1	-0.344666666666667
C16orf63	-0.40875
LOC388135	-0.909333333333333
ATP5J2	-0.917375
MMP3	-1.17775
EMID2	-0.1715
CRHR1	0.62325
WDR70	-0.415
C13orf31	1.85825
ZFAND1	-0.14075
CCL18	4.17633333333333
C3orf49	-0.198
RINT1	-0.482
KIAA0408	-0.904166666666667
F13A1	5.2169
SLC10A1	0.199833333333333
OGN	1.5935
GIPC2	-2.514
XPO6	-0.5535
LCE1A	0.858
FMR1	0.4839
LOC374920	0.0575
DUSP3	-0.00125000000000001
ANKMY1	0.13425
C7orf50	-0.16625
BBS9	-0.2534
UNC119B	-0.53575
C9orf72	-0.254
MGC35440	-0.13325
ENTPD6	-0.4775
PPP1R2P9	1.4725
ERCC4	0.57725
FAHD2B	-0.718
HMHA1	-1.481
HACL1	-0.37425
RAD23A	-0.715333333333333
FAM83B	0.84475
PPP5C	-0.158666666666667
RNASEH2C	-0.341625
C9orf153	-0.94975
SCAMP4	0.0355
GHITM	0.5805
NDUFB7	-0.506625
ADCYAP1	-0.795666666666667
SP110	1.09666666666667
MAP3K7IP2	0.36575
DHH	-0.1955
AGRN	-0.228714285714286
WDR33	0.143
CEP290	0.352
PRPS1L1	-2.02783333333333
KLRA1	-0.923
GPR97	-0.3235
CHD7	-0.382416666666667
TLR10	0.1485
SLC30A8	-0.8745
HIC1	1.42516666666667
IAPP	-0.4625
RXFP4	-0.113
GP1BB	-2.022
SHQ1	0.5505
NKX2-3	0.0736666666666667
API5	0.27775
FTHP1	0.1765
MOV10L1	0.14
TRIM6-TRIM34	2.2495
ADHFE1	0.7665
FAM117A	0.44325
DDI1	0.21
CDON	-0.566166666666667
TRIM73	-1.699
IGKC	3.868
MMP14	0.620166666666667
DYNC1LI1	0.2815
C11orf66	0.22575
TRBV3-1	-1.625
FASTKD5	-0.30175
BIVM	-0.35625
LHX4	-0.559
CXCL2	-2.0388
RAB2B	-1.12516666666667
IZUMO1	-1.31775
MAP3K15	-2.191875
FAM19A2	0.790666666666667
ZC3H8	0.571166666666667
ZMAT1	1.1255
SPINK5L3	-4.3225
SLC10A6	0.528
APPL2	0.498875
CARD10	-0.619
LOC402176	-0.8995
EEF1D	0.771
RAB6A	1.4456
C12orf5	-0.168375
PAPOLG	-0.04925
MSRB2	0.5995
BCR	0.546388888888889
PUS3	0.45375
TIAM2	0.7025
ZNF317	-0.014
CHD2	-0.141428571428571
FZD5	-2.38231818181818
NUDT8	-1.97225
ZNF763	1.028
PRC1	-0.636333333333333
ABCB9	0.692166666666667
SPATA3	0.2195
TRAK2	0.872625
STAB1	2.6075
LRRTM2	-0.161833333333333
psiTPTE22	-1.4255
DBI	0.10275
SERPINA11	-2.223
NAT5	-0.1405
C20orf58	-2.0895
RPS6KA4	-0.0626666666666667
FLJ90650	-0.07575
TGFBRAP1	0.1975
CHRDL2	-0.675375
FAHD2A	-0.915833333333333
CNTN1	0.9935
BBS4	-0.3631
TMEM181	0.196
MINPP1	0.05025
MPHOSPH6	0.088
HOXC10	-1.6332
ITPKB	0.821
CLPTM1L	-0.739
MEOX2	-0.211166666666667
ATP6V0C	0.25975
PRPF8	-1.0305
TMC5	2.73625
FKBP3	-0.937
PLEKHB2	0.4345
OR4D6	0.6225
ZNF544	1.6987
D2HGDH	-1.291125
RPL18A	-1.1125
HEL308	-0.1545
MPP6	-2.29875
TCERG1	-1.11775
KRT16	0.358833333333333
KLF17	-1.00175
KLF5	-0.0435
CDR1	2.3785
VCX3A	-3.5095
FBLN2	2.1545
C14orf104	0.2595
HBE1	-4.611
OR4S2	0.587
C1orf108	-0.571
ROBO4	3.35133333333333
CPEB4	0.419375
C11orf80	0.887
BCKDHA	0.440666666666667
MYOC	0.66575
GIF	0.1965
CKMT1A	0.359
RPL3	0.6675
THBS1	2.6575
APOO	-1.29225
ARMCX1	1.60125
HSZFP36	1.38225
SNAPC5	-0.14375
EIF4ENIF1	0.45475
ZNF433	1.183
TNFRSF21	-0.4365
TMPRSS7	0.742
SPATA18	0.57
HPDL	-3.267
MKL2	0.8136
TBX3	2.32307692307692
C21orf93	-0.2098
DAXX	0.31675
ELMO1	-0.034625
RGS13	3.87083333333333
TAF11	0.4855
UNC13A	-2.2265
LOC653314	-0.9138
ORC3L	0.02175
IMAA	-2.91
TARBP2	-0.565
CABIN1	-0.0773
TRIOBP	0.21575
HIST1H2AC	-0.074875
RGS22	-1.70466666666667
NCOA1	1.18333333333333
IL25	0.2795
SNCG	-0.6225
GPR6	0.734
AMDHD1	-1.92016666666667
CHEK2	-0.4455
C6orf142	-1.33875
DRD4	-0.852
C14orf68	-1.5825
GDF11	-1.8155
SEMG2	0.0025
CD247	-2.22575
CDAN1	-0.659
RBMX2	0.102
TGS1	-0.06525
OIT3	0.90175
SYF2	0.347
MCM4	0.22525
PKHD1L1	0.100125
CEP192	-0.398166666666667
IFT88	0.86825
RPL9	0.0611428571428571
RAB32	0.4325
DDX43	-3.4335
P2RX2	-0.0395
OR5D18	-0.578
UBE1	0.6455
SLC24A1	0.811
ARHGAP5	0.28125
CETP	0.38925
KIAA1731	-1.055
SLC9A4	0.576
PTPN6	1.37575
BAHD1	-0.10275
GRIK3	1.5955
CACNB2	-1.3006
PDE10A	1.64175
DGCR14	0.14475
PCDHB9	-0.7725
RHOQ	0.363
MAP3K4	0.2955
KTI12	0.1635
RPL23AP13	-2.55175
GNG11	-0.66275
CLCN3	0.905166666666667
GPAM	0.474
VSTM2A	6.7055
SLAMF7	1.93966666666667
INTS2	-0.8225
PPP2CA	0.2208
LRP12	0.731733333333333
SEC14L2	2.63722222222222
DKFZP586H2123	2.9035
MC3R	0.4355
CIRH1A	-0.937
HIST1H2AB	-0.529666666666667
POLH	-0.294875
MGC16703	-1.21
SNAPC2	0.0725
FILIP1L	2.3015
RASGRP4	0.5775
LRRC1	2.62325
GAS1	2.79625
